iteration,dataset,scenario,status,master_status,master_termination,master_objective_UB_SEK,base_master_objective_SEK,lp_recourse_value_SEK,mip_recourse_value_SEK,LB_candidate_SEK,best_LB_SEK,best_LB_iteration,lbbd_gap,cuts_added,cut_candidates,total_cuts,max_theta_violation_SEK,cut_strategy,max_cuts_per_iteration,mip_reconstruction_performed,mip_reconstruction_frequency,n_subproblems,n_positive_type_arcs,n_mip_positive_rows,PV_panels_installed,battery_units_installed,pv_direct_kWh,pv_to_battery_kWh,grid_to_battery_kWh,battery_discharge_kWh,master_elapsed_seconds,elapsed_seconds
1,full,with_redirection,running,ok,optimal,945499652.8594397,484907671.228453,0.0,0.0,484907671.228453,484907671.228453,1,0.9498550114996831,576,576,576,2486504.9667126713,corepoint,all,True,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,275.2666802406311,788.1993160247803
2,full,with_redirection,running,ok,optimal,936112846.4359607,476382682.8986011,533134.8831575313,532766.7553271408,476915449.6539283,484907671.228453,1,0.9304970863101335,576,576,1152,2474851.8082552976,corepoint,all,True,2,576,4254670,1328,0.0,0.0,0.0,0.0,0.0,0.0,1518.0406229496002,2810.985494375229
3,full,with_redirection,running,ok,optimal,502293501.2420938,467521805.95254475,5961832.923345637,,,484907671.228453,1,0.03585389764941436,576,576,1728,183980.94838457793,corepoint,all,False,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,1561.3423132896423,4656.163196325302
4,full,with_redirection,running,ok,optimal,496406453.31402,471706451.23272324,5437102.675345219,5435340.31633006,477141791.5490533,484907671.228453,1,0.023713343318401768,576,576,2304,125694.4934627672,corepoint,all,True,2,576,4254670,6906,0.0,0.0,0.0,0.0,0.0,0.0,1944.3579828739166,7141.678130149841
5,full,with_redirection,running,ok,optimal,488248942.8113372,478828997.720841,4847241.684424737,,,484907671.228453,1,0.0068905314993666705,564,564,2868,23384.675011778367,corepoint,all,False,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,2308.000947713852,9734.187203645706
6,full,with_redirection,running,ok,optimal,486413003.147139,479918492.8390075,4270585.308867049,4269613.272948074,484188106.1119556,484907671.228453,1,0.003104368126147524,552,552,3420,25115.110451192595,corepoint,all,True,2,576,4254670,6813,0.0,0.0,0.0,0.0,0.0,0.0,2295.5187237262726,12576.534609556198
7,full,with_redirection,running,ok,optimal,485709151.79800946,479848347.52065575,4774654.47992491,4772907.973073288,484621255.49372905,484907671.228453,1,0.0016528519079230565,517,517,3937,8896.312678424252,corepoint,all,True,2,576,4254670,7077,0.0,0.0,0.0,0.0,0.0,0.0,2924.244428396225,16049.869708538055
8,full,with_redirection,running,ok,optimal,485603825.23996586,481181014.88050914,4119773.765147328,4118768.0339919725,485299782.91450113,485299782.91450113,8,0.0006265041447963947,515,515,4452,4694.272389637787,corepoint,all,True,2,576,4254670,6574,0.0,0.0,0.0,0.0,0.0,0.0,2531.7555828094482,19137.605721235275
9,full,with_redirection,running,ok,optimal,485612567.3322637,481353474.21751356,4011539.8381555155,4010285.129561083,485363759.3470746,485363759.3470746,9,0.0005126216788904551,444,444,4896,3165.140163602391,corepoint,all,True,2,576,4254670,6771,0.0,0.0,0.0,0.0,0.0,0.0,2976.3765676021576,22680.946861743927
10,full,with_redirection,converged,ok,optimal,485461453.07229924,481271371.4459597,4058141.124260631,4056664.0453379136,485328035.4912976,485363759.3470746,9,0.00020127939786034822,403,403,5299,2687.95109670041,corepoint,all,True,2,576,4254670,6903,0.0,0.0,0.0,0.0,0.0,0.0,3136.2746443748474,26376.431025266647
