Metric,Value
dataset,full
annual_profit_SEK,485281656.57552063
revenue_all_chargers_SEK,708031034.2570895
grid_cost_SEK,199934617.82833585
redirection_distance_cost_SEK,1613260.5347420718
redirection_price_compensation_SEK,699.1949909760109
redirection_total_cost_SEK,1613959.7297330478
slack_penalty_SEK,0.0
capex_chargers_SEK,21200800.12349991
capex_PV_BESS_SEK,0.0
grid_direct_kWh,115162620.46551377
grid_to_battery_kWh,0.0
grid_total_kWh,115162620.46551377
pv_direct_kWh,0.0
pv_to_battery_kWh,0.0
pv_used_total_kWh,0.0
battery_discharge_kWh,0.0
energy_redirected_kWh,1273501.2892599278
PV_panels_installed,0.0
battery_units_installed,0.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
chargers_slow_installed,210.0
energy_slow_kWh,1724058.8939030024
capacity_upper_bound_slow_kWh,20235600.0
capacity_ratio_slow,0.08519929697676384
chargers_medium_installed,2186.0
energy_medium_kWh,77603879.74981976
capacity_upper_bound_medium_kWh,421285920.0
capacity_ratio_medium,0.18420715259085743
chargers_fast_installed,181.0
energy_fast_kWh,35834681.82179399
capacity_upper_bound_fast_kWh,79278000.0
capacity_ratio_fast,0.4520129395518806
