from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
60,105,January,1,fast,medium,4.543430595378641,140.84634845673787,645.1772158149203,142.63875000000002,1.0,0.0,4.543430595378641,0.0,0.0
60,106,January,1,fast,medium,0.18472474442715736,5.726467077241878,26.23132318183983,142.63875000000002,1.0,0.0,0.18472474442715736,0.0,0.0
85,106,January,1,fast,medium,5.329543435779003,165.2158465091491,760.1994137502223,142.63875000000002,1.0,0.0,5.329543435779003,0.0,0.0
106,105,January,1,fast,medium,17.45656940462136,541.1536515432621,2489.983239163435,142.63875000000002,1.0,0.0,17.45656940462136,0.0,0.0
335,336,January,1,medium,medium,2.4268455292424704,75.23221140651658,222.73524360455127,142.63875000000002,1.0,0.0,2.4268455292424704,0.0,0.0
85,48,January,2,fast,medium,5.2236586865439545,161.9334192828626,646.6751723474048,142.63875000000002,1.0,0.0,5.2236586865439545,0.0,0.0
85,105,January,2,fast,medium,8.867702440038835,274.8987756412039,1264.8779914190895,142.63875000000002,1.0,0.0,8.867702440038835,0.0,0.0
85,106,January,2,fast,medium,11.0,341.0,1569.0262500000001,142.63875000000002,1.0,0.0,11.0,0.0,0.0
106,60,January,2,fast,medium,4.324271844660194,134.052427184466,614.0561874110033,142.63875000000002,1.0,0.0,4.324271844660194,0.0,0.0
106,105,January,2,fast,medium,13.132297559961165,407.1012243587961,1873.174508580911,142.63875000000002,1.0,0.0,13.132297559961165,0.0,0.0
131,129,January,2,fast,medium,4.3003400075557145,133.31054023422715,572.139954734919,142.63875000000002,1.0,0.0,4.3003400075557145,0.0,0.0
144,120,January,2,medium,medium,0.8152677326589242,25.27329971242665,72.1636108678832,142.63875000000002,1.0,0.0,0.8152677326589242,0.0,0.0
180,158,January,2,fast,fast,4.048569315501851,125.50564878055738,438.74724888086115,158.13875000000002,1.0,0.0,4.048569315501851,0.0,0.0
180,201,January,2,fast,fast,15.383921877505827,476.90157820268064,1621.495569655734,158.13875000000002,1.0,0.0,15.383921877505827,0.0,0.0
283,309,January,2,fast,medium,1.3934428369979628,43.196727946936846,116.61259086371234,142.63875000000002,1.0,0.0,1.3934428369979628,0.0,0.0
335,334,January,2,fast,medium,2.7500823850077367,85.25255393523983,205.13782120595178,142.63875000000002,1.0,0.0,2.7500823850077367,0.0,0.0
335,336,January,2,fast,medium,2.826133270209496,87.61013137649438,259.3817673247331,142.63875000000002,1.0,0.0,2.826133270209496,0.0,0.0
359,385,January,2,medium,medium,4.634112486378574,143.6574870777358,441.2252960859455,142.63875000000002,1.0,0.0,4.634112486378574,0.0,0.0
388,387,January,2,fast,medium,18.25115404509893,565.7857753980668,1813.9978356976812,142.63875000000002,1.0,0.0,18.25115404509893,0.0,0.0
411,410,January,2,fast,medium,3.5659762632098193,110.5452641595044,329.3272388786489,142.63875000000002,1.0,0.0,3.5659762632098193,0.0,0.0
