iteration,dataset,scenario,status,master_status,master_termination,master_objective_UB_SEK,base_master_objective_SEK,lp_recourse_value_SEK,mip_recourse_value_SEK,LB_candidate_SEK,best_LB_SEK,best_LB_iteration,lbbd_gap,cuts_added,cut_candidates,total_cuts,max_theta_violation_SEK,cut_strategy,max_cuts_per_iteration,mip_reconstruction_performed,mip_reconstruction_frequency,n_subproblems,n_positive_type_arcs,n_mip_positive_rows,PV_panels_installed,battery_units_installed,pv_direct_kWh,pv_to_battery_kWh,grid_to_battery_kWh,battery_discharge_kWh,master_elapsed_seconds,elapsed_seconds
1,full,with_redirection,running,ok,optimal,958543027.5893284,497951045.9583416,0.0,0.0,497951045.9583416,497951045.9583416,1,0.924974423428603,576,576,576,2486504.966712671,corepoint,all,True,20,576,4254670,0,65471.0,0.0,23107489.914853204,0.0,0.0,0.0,171.3633689880371,438.0125312805176
2,full,with_redirection,running,ok,optimal,948465393.7826557,488869695.1221047,598124.1264690129,,,497951045.9583416,1,0.9047362215240813,576,576,1152,2481404.889826931,corepoint,all,False,20,576,4254670,0,65426.0,0.0,23097216.778296325,0.0,0.0,0.0,1455.4967002868652,2040.2705068588257
3,full,with_redirection,running,ok,optimal,517377624.22021383,480859303.0284642,5497233.242260393,,,497951045.9583416,1,0.03901302832788397,576,576,1728,226103.76305899542,corepoint,all,False,20,576,4254670,0,65287.0,0.0,23055581.41326385,0.0,0.0,0.0,1511.5422661304474,3717.223659992218
4,full,with_redirection,running,ok,optimal,509920391.52214867,483738345.418327,5292594.155966085,,,497951045.9583416,1,0.02403719333648798,576,576,2304,143654.7063608548,corepoint,all,False,20,576,4254670,0,65335.0,0.0,23048677.741197843,0.0,0.0,0.0,1744.0210020542145,5630.795694828033
5,full,with_redirection,running,ok,optimal,501172575.65821886,492442483.7425598,4315600.03697152,,,497951045.9583416,1,0.0064695711074915065,564,564,2868,22245.01489339734,corepoint,all,False,20,576,4254670,0,65330.0,0.0,23068008.951044098,0.0,0.0,0.0,2170.6019649505615,7972.773815870285
6,full,with_redirection,running,ok,optimal,498798531.29185146,492609591.53235966,4215452.123770948,4214116.3395638745,496823707.8719235,497951045.9583416,1,0.0017019450815266744,546,546,3414,13044.238968332127,corepoint,all,True,20,576,4254670,6827,65413.0,0.0,23081442.342852745,0.0,0.0,0.0,2538.9880499839783,10843.433455944061
7,full,with_redirection,running,ok,optimal,498634310.3321006,493444775.6130487,4463029.379215193,4461747.372665706,497906522.9857144,497951045.9583416,1,0.001372151699057046,531,531,3945,7115.685563629719,corepoint,all,True,20,576,4254670,6935,65355.0,0.0,23072582.692919828,0.0,0.0,0.0,2743.010600090027,13925.296604633331
8,full,with_redirection,running,ok,optimal,498455095.83656585,493594118.07849956,4552691.4318518285,4551215.185321171,498145333.2638207,498145333.2638207,8,0.000621831726728417,509,509,4454,8839.807874162478,corepoint,all,True,20,576,4254670,6600,65425.0,0.0,23094518.998082828,0.0,0.0,0.0,2993.7688024044037,17257.86727309227
9,full,with_redirection,running,ok,optimal,498655557.21240526,494799312.4576622,3704315.767771001,3703058.3097017086,498502370.7673639,498502370.7673639,9,0.00030729331297974107,465,465,4919,4237.758578704204,corepoint,all,True,20,576,4254670,6266,65467.0,0.0,23105993.981249493,0.0,0.0,0.0,3823.5014078617096,21420.725799798965
10,full,with_redirection,converged,ok,optimal,498633718.698795,495089793.998548,3463142.111477841,3461952.6839098544,498551746.6824578,498551746.6824578,10,0.00016442027709798854,295,295,5214,2554.2888957102004,corepoint,all,True,20,576,4254670,6296,65467.0,0.0,23105993.98125266,0.0,0.0,0.0,4059.3315563201904,25822.483300209045
