Metric,Value
dataset,full
annual_profit_SEK,498551746.682475
revenue_all_chargers_SEK,708083062.2459525
grid_cost_SEK,161516258.3736798
redirection_distance_cost_SEK,1402746.7503002323
redirection_price_compensation_SEK,2149.6092386438772
redirection_total_cost_SEK,1404896.3595388762
slack_penalty_SEK,0.0
capex_chargers_SEK,21003791.25225883
capex_PV_BESS_SEK,25606369.578
grid_direct_kWh,92139213.69440147
grid_to_battery_kWh,0.0
grid_total_kWh,92139213.69440147
pv_direct_kWh,23105993.98125258
pv_to_battery_kWh,0.0
pv_used_total_kWh,23105993.98125258
battery_discharge_kWh,0.0
energy_redirected_kWh,1107640.288135255
PV_panels_installed,65467.0
battery_units_installed,0.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
chargers_slow_installed,216.0
energy_slow_kWh,1389275.9654278196
capacity_upper_bound_slow_kWh,20813760.0
capacity_ratio_slow,0.06674795738145436
chargers_medium_installed,2216.0000000776226
energy_medium_kWh,79243023.36080354
capacity_upper_bound_medium_kWh,427067520.0149594
capacity_ratio_medium,0.18555151035140252
chargers_fast_installed,173.000000511778
energy_fast_kWh,34612908.34942012
capacity_upper_bound_fast_kWh,75774000.22415876
capacity_ratio_fast,0.45679135649465963
