from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
60,85,January,1,fast,medium,4.728155339805825,146.5728155339806,671.4085389967639,142.63875000000002,1.0,0.0,4.728155339805825,0.0,0.0
85,131,January,1,fast,medium,5.329543435779003,165.2158465091491,678.5387280156335,142.63875000000002,1.0,0.0,5.329543435779003,0.0,0.0
106,85,January,1,fast,medium,17.456569404621355,541.153651543262,2489.9832391634345,142.63875000000002,1.0,0.0,17.456569404621355,0.0,0.0
85,48,January,2,fast,medium,2.945650230517625,91.31515714604637,364.66373184030755,142.63875000000002,1.0,0.0,2.945650230517625,0.0,0.0
106,48,January,2,fast,medium,2.2780084560263187,70.61826213681589,282.01144050709587,142.63875000000002,1.0,0.0,2.2780084560263187,0.0,0.0
106,60,January,2,fast,medium,4.324271844660194,134.052427184466,614.0561874110033,142.63875000000002,1.0,0.0,4.324271844660194,0.0,0.0
106,85,January,2,fast,medium,10.854289103934843,336.48296222198013,1548.2422299238863,142.63875000000002,1.0,0.0,10.854289103934843,0.0,0.0
131,129,January,2,fast,medium,4.3003400075557625,133.31054023422863,572.1399547349254,142.63875000000002,1.0,0.0,4.3003400075557625,0.0,0.0
144,120,January,2,medium,medium,0.8152677326590094,25.273299712429292,72.16361086789074,142.63875000000002,1.0,0.0,0.8152677326590094,0.0,0.0
180,158,January,2,fast,fast,4.048569315501851,125.50564878055738,438.74724888086115,158.13875000000002,1.0,0.0,4.048569315501851,0.0,0.0
180,201,January,2,fast,fast,15.383921877505827,476.90157820268064,1621.495569655734,158.13875000000002,1.0,0.0,15.383921877505827,0.0,0.0
283,309,January,2,medium,medium,1.3934428369979628,43.196727946936846,116.61259086371234,142.63875000000002,1.0,0.0,1.3934428369979628,0.0,0.0
359,385,January,2,medium,medium,4.6341124863785765,143.65748707773588,441.22529608594573,142.63875000000002,1.0,0.0,4.6341124863785765,0.0,0.0
388,387,January,2,fast,medium,4.751154045098929,147.2857753980668,472.2212706976812,142.63875000000002,1.0,0.0,4.751154045098929,0.0,0.0
411,410,January,2,fast,medium,3.565976263209805,110.54526415950396,329.32723887864756,142.63875000000002,1.0,0.0,3.565976263209805,0.0,0.0
442,441,January,2,fast,medium,4.245847949327527,131.62128642915334,393.7367423380051,142.63875000000002,1.0,0.0,4.245847949327527,0.0,0.0
461,488,January,2,fast,fast,3.893550692207981,120.70007145844741,425.8954324775616,158.13875000000002,1.0,0.0,3.893550692207981,0.0,0.0
88,110,January,3,fast,medium,2.892653430615418,89.67225634907797,273.67389768072326,142.704625,1.0,0.0,2.892653430615418,0.0,0.0
106,48,January,3,fast,medium,9.021907154304255,279.6791217834319,1117.482636074793,142.704625,1.0,0.0,9.021907154304255,0.0,0.0
106,60,January,3,fast,medium,11.0,341.0,1562.7490083333332,142.704625,1.0,0.0,11.0,0.0,0.0
106,85,January,3,fast,medium,3.357273463794332,104.0754773776243,479.0984506732212,142.704625,1.0,0.0,3.357273463794332,0.0,0.0
120,144,January,3,medium,medium,5.97200346693257,185.13210747490967,529.0066661647179,142.704625,1.0,0.0,5.97200346693257,0.0,0.0
131,129,January,3,medium,medium,4.3003400075557545,133.3105402342284,572.4232396329219,142.704625,1.0,0.0,4.3003400075557545,0.0,0.0
155,156,January,3,fast,fast,12.807944031820838,397.046264986446,1322.8158800232177,158.204625,1.0,0.0,12.807944031820838,0.0,0.0
180,201,January,3,fast,fast,21.56295879478666,668.4517226383864,2274.198652156888,158.204625,1.0,1.0,1.5629587947866597,0.0,0.0
185,184,January,3,fast,fast,2.2334234909473594,69.23612821936814,221.77451186069828,158.204625,1.0,0.0,2.2334234909473594,0.0,0.0
185,206,January,3,fast,medium,6.188706217285464,191.84989273584938,551.9166491708825,142.704625,1.0,0.0,6.188706217285464,0.0,0.0
202,220,January,3,fast,fast,8.677811364606043,269.01215230278734,926.5930794027025,158.204625,1.0,0.0,8.677811364606043,0.0,0.0
283,309,January,3,fast,medium,1.3934428369979628,43.196727946936846,116.70438391059955,142.704625,1.0,0.0,1.3934428369979628,0.0,0.0
328,327,January,3,fast,medium,0.1070561021528249,3.318739166737572,9.778117362829743,142.704625,1.0,0.0,0.1070561021528249,0.0,0.0
388,387,January,3,fast,medium,3.3443830011029405,103.67587303419116,332.62140273125647,142.704625,1.0,0.0,3.3443830011029405,0.0,0.0
461,488,January,3,fast,fast,2.6401591596681726,81.84493394971335,288.9673165400112,158.204625,1.0,0.0,2.6401591596681726,0.0,0.0
595,580,January,3,medium,medium,4.29726066579844,133.21508063975165,411.97585180840474,142.704625,1.0,0.0,4.29726066579844,0.0,0.0
611,624,January,3,fast,medium,0.8852279865510937,27.442067583083904,123.05393572167193,142.704625,1.0,0.0,0.8852279865510937,0.0,0.0
614,626,January,3,fast,medium,9.136780044838972,283.2401813900081,793.8509463238761,142.704625,1.0,0.0,9.136780044838972,0.0,0.0
106,60,January,4,fast,medium,8.911883114522944,276.26837655021126,1266.0942272366644,142.704625,1.0,0.0,8.911883114522944,0.0,0.0
106,85,January,4,fast,medium,8.063631098567459,249.97256405559122,1150.7174520594072,142.704625,1.0,0.0,8.063631098567459,0.0,0.0
117,116,January,4,fast,fast,2.1691632140277335,67.24405963485974,236.9233488535885,158.204625,1.0,0.0,2.1691632140277335,0.0,0.0
120,144,January,4,medium,medium,1.8651400738496946,57.81934228934053,165.21616872138753,142.704625,1.0,0.0,1.8651400738496946,0.0,0.0
173,172,January,4,fast,fast,5.423969945830478,168.14306832074482,612.5970420052056,158.204625,1.0,0.0,5.423969945830478,0.0,0.0
283,309,January,4,fast,medium,1.3934428369979628,43.196727946936846,116.70438391059955,142.704625,1.0,0.0,1.3934428369979628,0.0,0.0
359,385,January,4,medium,medium,2.7467941688882753,85.15061923553654,261.71000246732535,142.704625,1.0,0.0,2.7467941688882753,0.0,0.0
445,473,January,4,medium,medium,6.8623109187278715,212.73163848056402,642.6597979806683,142.704625,1.0,0.0,6.8623109187278715,0.0,0.0
487,460,January,4,fast,fast,3.503476787977455,108.6077804273011,341.91485104297965,158.204625,1.0,0.0,3.503476787977455,0.0,0.0
595,580,January,4,medium,medium,2.903312505286707,90.00268766388791,278.3388617663126,142.704625,1.0,0.0,2.903312505286707,0.0,0.0
