iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,October,17,corepoint_lp_dual_upper_cut,0.0,2486504.9667126713,2486504.9667126713,1554,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,17,corepoint_lp_dual_upper_cut,0.0,2392064.203785327,2392064.203785327,1554,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,17,corepoint_lp_dual_upper_cut,0.0,2322652.513244376,2322652.513244376,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,18,corepoint_lp_dual_upper_cut,0.0,2310259.1407459327,2310259.1407459327,1599,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,17,corepoint_lp_dual_upper_cut,0.0,2302163.862152566,2302163.862152566,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,18,corepoint_lp_dual_upper_cut,0.0,2219478.205612382,2219478.205612382,1600,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,18,corepoint_lp_dual_upper_cut,0.0,2152756.4005232397,2152756.4005232397,1601,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,18,corepoint_lp_dual_upper_cut,0.0,2133061.738514098,2133061.738514098,1600,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,17,corepoint_lp_dual_upper_cut,0.0,2117062.969351634,2117062.969351634,1554,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,19,corepoint_lp_dual_upper_cut,0.0,2039741.5605705008,2039741.5605705008,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,17,corepoint_lp_dual_upper_cut,0.0,1995075.7633604554,1995075.7633604554,1554,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,16,corepoint_lp_dual_upper_cut,0.0,1967851.0436013597,1967851.0436013597,1522,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,18,corepoint_lp_dual_upper_cut,0.0,1957710.9990237013,1957710.9990237013,1601,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,19,corepoint_lp_dual_upper_cut,0.0,1941384.363559268,1941384.363559268,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,17,corepoint_lp_dual_upper_cut,0.0,1937454.5216651175,1937454.5216651175,1553,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,19,corepoint_lp_dual_upper_cut,0.0,1933396.4502990604,1933396.4502990604,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,16,corepoint_lp_dual_upper_cut,0.0,1909063.6757621365,1909063.6757621365,1521,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,19,corepoint_lp_dual_upper_cut,0.0,1890714.0463122874,1890714.0463122874,1538,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,16,corepoint_lp_dual_upper_cut,0.0,1852923.9832683438,1852923.9832683438,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,16,corepoint_lp_dual_upper_cut,0.0,1851757.2110822217,1851757.2110822217,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,18,corepoint_lp_dual_upper_cut,0.0,1840451.1178987692,1840451.1178987692,1600,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,18,corepoint_lp_dual_upper_cut,0.0,1782485.8435812872,1782485.8435812872,1598,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,17,corepoint_lp_dual_upper_cut,0.0,1782115.358124167,1782115.358124167,1553,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,16,corepoint_lp_dual_upper_cut,0.0,1765488.4497177629,1765488.4497177629,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,20,corepoint_lp_dual_upper_cut,0.0,1729066.2596470218,1729066.2596470218,1532,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,19,corepoint_lp_dual_upper_cut,0.0,1726901.783186753,1726901.783186753,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,16,corepoint_lp_dual_upper_cut,0.0,1712505.9906457223,1712505.9906457223,1522,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,17,corepoint_lp_dual_upper_cut,0.0,1705019.7368681482,1705019.7368681482,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,17,corepoint_lp_dual_upper_cut,0.0,1685686.330065404,1685686.330065404,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,28,corepoint_lp_dual_upper_cut,0.0,1684797.2565051357,1684797.2565051357,1388,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,28,corepoint_lp_dual_upper_cut,0.0,1673541.2004089113,1673541.2004089113,1386,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,28,corepoint_lp_dual_upper_cut,0.0,1649838.1744315384,1649838.1744315384,1385,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,20,corepoint_lp_dual_upper_cut,0.0,1645689.9564755498,1645689.9564755498,1530,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,20,corepoint_lp_dual_upper_cut,0.0,1638918.691149491,1638918.691149491,1531,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,19,corepoint_lp_dual_upper_cut,0.0,1634325.1903304004,1634325.1903304004,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,18,corepoint_lp_dual_upper_cut,0.0,1633166.4809247192,1633166.4809247192,1598,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,27,corepoint_lp_dual_upper_cut,0.0,1630037.1279198807,1630037.1279198807,1458,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,28,corepoint_lp_dual_upper_cut,0.0,1628401.7263028931,1628401.7263028931,1384,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,17,corepoint_lp_dual_upper_cut,0.0,1627854.5446406798,1627854.5446406798,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,27,corepoint_lp_dual_upper_cut,0.0,1619146.9218253775,1619146.9218253775,1456,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,19,corepoint_lp_dual_upper_cut,0.0,1604929.6074425657,1604929.6074425657,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,20,corepoint_lp_dual_upper_cut,0.0,1602737.2914855496,1602737.2914855496,1529,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,16,corepoint_lp_dual_upper_cut,0.0,1598333.1341699888,1598333.1341699888,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,27,corepoint_lp_dual_upper_cut,0.0,1596214.3035308097,1596214.3035308097,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
