iteration,dataset,scenario,status,master_status,master_termination,master_objective_UB_SEK,base_master_objective_SEK,lp_recourse_value_SEK,mip_recourse_value_SEK,LB_candidate_SEK,best_LB_SEK,best_LB_iteration,lbbd_gap,cuts_added,cut_candidates,total_cuts,max_theta_violation_SEK,cut_strategy,max_cuts_per_iteration,mip_reconstruction_performed,mip_reconstruction_frequency,n_subproblems,n_positive_type_arcs,n_mip_positive_rows,PV_panels_installed,battery_units_installed,pv_direct_kWh,pv_to_battery_kWh,grid_to_battery_kWh,battery_discharge_kWh,master_elapsed_seconds,elapsed_seconds
1,full,with_redirection,running,ok,optimal,962948284.7125351,502356303.0815484,0.0,0.0,502356303.0815484,502356303.0815484,1,0.9168631483383977,576,576,576,2486504.9667126713,corepoint,all,True,2,576,4254670,0,78938.0,2472.0,25575487.978345267,7019735.679308189,4536156.32468889,10397720.19044943,430.12102723121643,858.4749193191528
2,full,with_redirection,running,ok,optimal,952361460.8037944,493044698.6091121,983034.3401961838,982600.035391568,494027298.64450365,502356303.0815484,1,0.8957888155514908,576,576,1152,2469185.931499713,corepoint,all,True,2,576,4254670,1613,78737.0,2447.0,25330330.49350335,7184877.9019761905,4404373.588566103,10428218.555642208,10823.14465880394,12204.570655584335
3,full,with_redirection,running,ok,optimal,519883446.5457987,485422852.1747759,5178599.826940423,,,502356303.0815484,1,0.03488986473691187,576,576,1728,206469.3365827144,corepoint,all,False,2,576,4254670,0,78479.0,2446.0,25278146.13265883,7123395.440154754,4471244.012661008,10433007.851027323,12854.524480342865,25344.37232208252
4,full,with_redirection,running,ok,optimal,513408498.42297846,490711156.558027,4035133.2441811766,4033678.993818302,494744835.5518453,502356303.0815484,1,0.02200071000131543,576,576,2304,123794.55192674467,corepoint,all,True,2,576,4254670,5564,78704.0,2462.0,25244961.256278507,7277182.018630478,4383951.335089269,10492823.688713685,8512.893580675125,34408.05993461609
5,full,with_redirection,running,ok,optimal,505337937.06620336,495803122.44431704,5154715.442388827,,,502356303.0815484,1,0.005935297250905498,564,564,2868,30995.745200733938,corepoint,all,False,2,576,4254670,0,78703.0,2455.0,25181286.512927033,7301351.316252753,4376103.751709186,10507797.110052617,14223.192752122879,48901.28443431854
6,full,with_redirection,running,ok,optimal,502989912.44771314,497535084.4115664,3782225.911596763,3780627.2893097787,501315711.7008762,502356303.0815484,1,0.0012612748407416499,559,559,3427,24658.877425891333,corepoint,all,True,2,576,4254670,6634,78724.0,2451.0,25266081.270800695,7242767.967667685,4402047.119174306,10478122.773785038,22887.47429895401,72343.45299077034
7,full,with_redirection,running,ok,optimal,503141626.3785497,499028032.68086076,3475134.520414167,3473598.0699754544,502501630.7508362,502501630.7508362,7,0.001273619006484063,533,533,3960,13710.411175176552,corepoint,all,True,2,576,4254670,6069,78733.0,2454.0,25491245.953260217,7001333.13949506,4446150.902948537,10300066.843549002,9187.700182437897,82076.27043890953
8,full,with_redirection,running,ok,optimal,502682966.3589824,497807464.2695651,4461508.288815055,4460247.144442819,502267711.4140079,502501630.7508362,7,0.0003608657107743901,491,491,4451,16802.5068108048,corepoint,all,True,2,576,4254670,6980,78608.0,2434.0,25262676.84826662,7138971.963858876,4395568.509115349,10378811.479969913,18180.114392518997,100834.37537002563
9,full,with_redirection,running,ok,optimal,502927484.51960295,499612192.24488074,3161196.303771494,3160126.4737702296,502772318.71865094,502772318.71865094,9,0.0003086204136048456,404,404,4855,8424.357288756459,corepoint,all,True,2,576,4254670,6245,78712.0,2450.0,25339007.6023664,7155663.94978391,4404125.848999649,10401572.86302085,13393.16866183281,114808.25908255577
10,full,with_redirection,converged,ok,optimal,502866923.67440635,498502197.50560164,4177741.0133002624,4176735.168662303,502678932.67426395,502772318.71865094,9,0.00018816659595842443,369,369,5224,4858.562661337746,corepoint,all,True,2,576,4254670,6968,78506.0,2438.0,25220611.271938704,7207211.650746263,4387117.79624494,10432679.241300836,18326.942085504532,133918.78376626968
