from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
49,24,January,1,fast,medium,1.0128088434289617,31.397074146297815,143.51257224457123,142.63875000000002,1.0,0.0,1.0128088434289617,0.0,0.0
60,85,January,1,fast,medium,4.543430595378638,140.84634845673776,645.1772158149197,142.63875000000002,1.0,0.0,4.543430595378638,0.0,0.0
60,106,January,1,fast,medium,0.18472474442718756,5.726467077242814,26.231323181844115,142.63875000000002,1.0,0.0,0.18472474442718756,0.0,0.0
85,106,January,1,fast,medium,5.329543435779002,165.21584650914906,760.1994137502222,142.63875000000002,1.0,0.0,5.329543435779002,0.0,0.0
106,85,January,1,fast,medium,17.456569404621362,541.1536515432622,2489.9832391634354,142.63875000000002,1.0,0.0,17.456569404621362,0.0,0.0
335,336,January,1,medium,medium,2.426845529242481,75.23221140651691,222.73524360455227,142.63875000000002,1.0,0.0,2.426845529242481,0.0,0.0
388,387,January,1,fast,medium,5.831465012833604,180.77541539784173,579.5943032472262,142.63875000000002,1.0,0.0,5.831465012833604,0.0,0.0
85,106,January,2,medium,medium,3.0913611265827825,95.83219492406626,440.9478868943599,142.63875000000002,1.0,0.0,3.0913611265827825,0.0,0.0
106,47,January,2,fast,medium,2.13229755996117,66.10122435879627,263.97281576529315,142.63875000000002,1.0,0.0,2.13229755996117,0.0,0.0
106,48,January,2,fast,medium,11.0,341.0,1361.7709966666669,142.63875000000002,1.0,0.0,11.0,0.0,0.0
106,60,January,2,fast,medium,4.324271844660192,134.05242718446596,614.0561874110031,142.63875000000002,1.0,0.0,4.324271844660192,0.0,0.0
131,129,January,2,fast,medium,4.300340007555722,133.31054023422737,572.1399547349199,142.63875000000002,1.0,0.0,4.300340007555722,0.0,0.0
144,120,January,2,fast,medium,0.8152677326590094,25.273299712429292,72.16361086789074,142.63875000000002,1.0,0.0,0.8152677326590094,0.0,0.0
283,309,January,2,fast,medium,1.3934428369979628,43.196727946936846,116.61259086371234,142.63875000000002,1.0,0.0,1.3934428369979628,0.0,0.0
335,334,January,2,medium,medium,2.7500823850078118,85.25255393524216,205.13782120595744,142.63875000000002,1.0,0.0,2.7500823850078118,0.0,0.0
335,336,January,2,medium,medium,2.826133270209475,87.61013137649371,259.3817673247312,142.63875000000002,1.0,0.0,2.826133270209475,0.0,0.0
359,385,January,2,fast,medium,4.634112486378655,143.6574870777383,441.2252960859531,142.63875000000002,1.0,0.0,4.634112486378655,0.0,0.0
388,387,January,2,medium,medium,29.25115404509893,906.7857753980668,2907.297259031015,142.63875000000002,1.0,1.0,9.251154045098929,0.0,0.0
411,410,January,2,fast,medium,3.5659762632098193,110.5452641595044,329.3272388786489,142.63875000000002,1.0,0.0,3.5659762632098193,0.0,0.0
442,441,January,2,medium,medium,4.245847949327527,131.62128642915334,393.7367423380051,142.63875000000002,1.0,0.0,4.245847949327527,0.0,0.0
461,488,January,2,fast,fast,3.893550692207981,120.70007145844741,425.8954324775616,158.13875000000002,1.0,0.0,3.893550692207981,0.0,0.0
85,47,January,3,medium,medium,9.72900862357439,301.59926733080613,1205.06651388885,142.704625,1.0,0.0,9.72900862357439,0.0,0.0
85,60,January,3,medium,medium,11.0,341.0,1562.7490083333332,142.704625,1.0,0.0,11.0,0.0,0.0
85,106,January,3,medium,medium,8.913717912631277,276.3252552915696,1272.0287720778292,142.704625,1.0,0.0,8.913717912631277,0.0,0.0
88,110,January,3,medium,medium,2.892653430615418,89.67225634907797,273.67389768072326,142.704625,1.0,0.0,2.892653430615418,0.0,0.0
106,85,January,3,fast,medium,21.292898530729865,660.0798544526258,3038.595099990856,142.704625,1.0,1.0,1.2928985307298646,0.0,0.0
120,144,January,3,medium,medium,5.972003466932584,185.1321074749101,529.0066661647193,142.704625,1.0,0.0,5.972003466932584,0.0,0.0
131,129,January,3,medium,medium,4.300340007555722,133.31054023422737,572.4232396329174,142.704625,1.0,0.0,4.300340007555722,0.0,0.0
155,156,January,3,fast,fast,12.807944031820917,397.0462649864484,1322.8158800232259,158.204625,1.0,0.0,12.807944031820917,0.0,0.0
185,184,January,3,fast,fast,2.233423490947356,69.23612821936803,221.7745118606979,158.204625,1.0,0.0,2.233423490947356,0.0,0.0
185,206,January,3,fast,medium,11.68870621728546,362.34989273584927,1042.413606670882,142.704625,1.0,0.0,11.68870621728546,0.0,0.0
202,220,January,3,fast,fast,8.677811364606043,269.01215230278734,926.5930794027025,158.204625,1.0,0.0,8.677811364606043,0.0,0.0
283,309,January,3,medium,medium,1.3934428369979628,43.196727946936846,116.70438391059955,142.704625,1.0,0.0,1.3934428369979628,0.0,0.0
328,327,January,3,fast,medium,0.1070561021528249,3.318739166737572,9.778117362829743,142.704625,1.0,0.0,0.1070561021528249,0.0,0.0
388,387,January,3,medium,medium,27.84438300110294,863.1758730341911,2769.3113285645895,142.704625,1.0,1.0,7.8443830011029405,0.0,0.0
406,407,January,3,fast,medium,2.0465577812403595,63.443291218451144,206.94027894571224,142.704625,1.0,0.0,2.0465577812403595,0.0,0.0
461,488,January,3,fast,fast,2.6401591596681726,81.84493394971335,288.9673165400112,158.204625,1.0,0.0,2.6401591596681726,0.0,0.0
595,580,January,3,medium,medium,4.29726066579844,133.21508063975165,411.97585180840474,142.704625,1.0,0.0,4.29726066579844,0.0,0.0
611,624,January,3,fast,medium,7.725741230711179,239.49797815204656,1073.9412662608272,142.704625,1.0,0.0,7.725741230711179,0.0,0.0
614,626,January,3,medium,medium,25.63678004483897,794.7401813900082,2227.456718823876,142.704625,1.0,1.0,5.6367800448389715,0.0,0.0
85,106,January,4,medium,medium,2.936368901432555,91.0274359444092,419.03342294059473,142.704625,1.0,0.0,2.936368901432555,0.0,0.0
106,47,January,4,medium,medium,4.274720862127033,132.51634672593804,529.4807689541128,142.704625,1.0,0.0,4.274720862127033,0.0,0.0
106,60,January,4,medium,medium,11.0,341.0,1562.7490083333332,142.704625,1.0,0.0,11.0,0.0,0.0
106,131,January,4,medium,medium,1.7007933509633695,52.72459387986446,216.65106808336668,142.704625,1.0,0.0,1.7007933509633695,0.0,0.0
117,116,January,4,fast,fast,2.1691632140277335,67.24405963485974,236.9233488535885,158.204625,1.0,0.0,2.1691632140277335,0.0,0.0
120,144,January,4,medium,medium,1.8651400738497017,57.81934228934075,165.2161687213882,142.704625,1.0,0.0,1.8651400738497017,0.0,0.0
173,172,January,4,fast,fast,5.423969945830507,168.14306832074573,612.5970420052088,158.204625,1.0,0.0,5.423969945830507,0.0,0.0
283,309,January,4,fast,medium,1.3934428369979628,43.196727946936846,116.70438391059955,142.704625,1.0,0.0,1.3934428369979628,0.0,0.0
359,385,January,4,fast,medium,2.7467941688883535,85.15061923553895,261.71000246733286,142.704625,1.0,0.0,2.7467941688883535,0.0,0.0
388,387,January,4,fast,medium,19.51340198220486,604.9154614483507,1940.7391848479504,142.704625,1.0,0.0,19.51340198220486,0.0,0.0
406,407,January,4,fast,medium,9.986822930358827,309.59151084112364,1009.8302339342397,142.704625,1.0,0.0,9.986822930358827,0.0,0.0
445,473,January,4,medium,medium,6.862310918727879,212.73163848056424,642.6597979806689,142.704625,1.0,0.0,6.862310918727879,0.0,0.0
487,460,January,4,fast,fast,3.5034767879774726,108.60778042730165,341.91485104298135,158.204625,1.0,0.0,3.5034767879774726,0.0,0.0
595,580,January,4,medium,medium,2.9033125052867064,90.0026876638879,278.33886176631256,142.704625,1.0,0.0,2.9033125052867064,0.0,0.0
601,616,January,4,medium,medium,3.66515133064582,113.61969125002042,286.18546768670353,142.704625,1.0,0.0,3.66515133064582,0.0,0.0
611,624,January,4,medium,medium,11.0,341.0,1529.090035,142.704625,1.0,0.0,11.0,0.0,0.0
614,626,January,4,medium,medium,30.94343938380196,959.2466208978607,2688.5268679771107,142.704625,1.0,1.0,10.943439383801959,0.0,0.0
161,138,January,5,fast,fast,3.3590249659664906,104.12977394496122,370.5253217276019,159.34775,1.0,0.0,3.3590249659664906,0.0,0.0
173,172,January,5,fast,fast,2.6211634465690636,81.25606684364098,299.0372229301868,159.34775,1.0,0.0,2.6211634465690636,0.0,0.0
388,387,January,5,fast,medium,0.4843757909285813,15.01564951878602,48.72813514021858,143.84775,1.0,0.0,0.4843757909285813,0.0,0.0
445,473,January,5,fast,medium,1.720996023046169,53.35087671443124,163.1396897062464,143.84775,1.0,0.0,1.720996023046169,0.0,0.0
611,624,January,5,fast,medium,10.773693917270549,333.98451143538705,1509.9473160444988,143.84775,1.0,0.0,10.773693917270549,0.0,0.0
614,626,January,5,fast,medium,19.537672303537775,605.667841409671,1719.868534716535,143.84775,1.0,0.0,19.537672303537775,0.0,0.0
415,416,January,13,medium,medium,0.23217213114754287,7.197336065573829,23.635895697063038,150.911875,1.0,0.0,0.23217213114754287,0.0,0.0
616,627,January,13,fast,medium,2.066202090592334,64.05226480836237,184.29576671893147,150.911875,1.0,0.0,2.066202090592334,0.0,0.0
249,268,January,14,fast,medium,3.895348837209305,120.75581395348846,426.0126247093026,150.911875,1.0,0.0,3.895348837209305,0.0,0.0
415,416,January,14,fast,medium,1.1721311475409841,36.33606557377051,119.32685206284157,150.911875,1.0,0.0,1.1721311475409841,0.0,0.0
484,458,January,14,fast,fast,0.39560378522237727,12.263717341893695,46.608891383262986,166.411875,1.0,0.0,0.39560378522237727,0.0,0.0
572,588,January,14,fast,medium,0.5034201739536321,15.606025392562596,49.771230372764734,150.911875,1.0,0.0,0.5034201739536321,0.0,0.0
