variable,HexID,Month,TimeIndex,Type,Value
x,0,,,slow,0.0
x,0,,,medium,0.0
x,0,,,fast,0.0
PV,0,,,PV,0.0
Batt,0,,,Batt,0.0
x,1,,,slow,0.0
x,1,,,medium,0.0
x,1,,,fast,0.0
PV,1,,,PV,0.0
Batt,1,,,Batt,0.0
x,2,,,slow,0.0
x,2,,,medium,8.0
x,2,,,fast,1.0
PV,2,,,PV,0.0
Batt,2,,,Batt,0.0
x,3,,,slow,1.0
x,3,,,medium,3.0
x,3,,,fast,0.0
PV,3,,,PV,0.0
Batt,3,,,Batt,0.0
x,4,,,slow,0.0
x,4,,,medium,0.0
x,4,,,fast,0.0
PV,4,,,PV,0.0
Batt,4,,,Batt,0.0
x,5,,,slow,0.0
x,5,,,medium,0.0
x,5,,,fast,0.0
PV,5,,,PV,0.0
Batt,5,,,Batt,0.0
x,6,,,slow,0.0
x,6,,,medium,0.0
x,6,,,fast,0.0
PV,6,,,PV,0.0
Batt,6,,,Batt,0.0
x,7,,,slow,0.0
x,7,,,medium,0.0
x,7,,,fast,0.0
PV,7,,,PV,0.0
Batt,7,,,Batt,0.0
x,8,,,slow,0.0
x,8,,,medium,0.0
x,8,,,fast,0.0
PV,8,,,PV,0.0
Batt,8,,,Batt,0.0
x,9,,,slow,0.0
x,9,,,medium,0.0
x,9,,,fast,0.0
PV,9,,,PV,0.0
Batt,9,,,Batt,0.0
x,10,,,slow,0.0
x,10,,,medium,1.0
x,10,,,fast,0.0
PV,10,,,PV,0.0
Batt,10,,,Batt,0.0
x,11,,,slow,0.0
x,11,,,medium,0.0
x,11,,,fast,0.0
PV,11,,,PV,0.0
Batt,11,,,Batt,0.0
x,12,,,slow,1.0
x,12,,,medium,3.0
x,12,,,fast,0.0
PV,12,,,PV,0.0
Batt,12,,,Batt,0.0
x,13,,,slow,1.0
x,13,,,medium,1.0
x,13,,,fast,0.0
PV,13,,,PV,0.0
Batt,13,,,Batt,0.0
x,14,,,slow,0.0
x,14,,,medium,0.0
x,14,,,fast,0.0
PV,14,,,PV,0.0
Batt,14,,,Batt,0.0
x,15,,,slow,1.0
x,15,,,medium,1.0
x,15,,,fast,0.0
PV,15,,,PV,0.0
Batt,15,,,Batt,0.0
x,16,,,slow,0.0
x,16,,,medium,0.0
x,16,,,fast,0.0
PV,16,,,PV,0.0
Batt,16,,,Batt,0.0
x,17,,,slow,0.0
x,17,,,medium,0.0
x,17,,,fast,0.0
PV,17,,,PV,0.0
Batt,17,,,Batt,0.0
x,18,,,slow,0.0
x,18,,,medium,0.0
x,18,,,fast,0.0
PV,18,,,PV,0.0
Batt,18,,,Batt,0.0
x,19,,,slow,0.0
x,19,,,medium,0.0
x,19,,,fast,0.0
PV,19,,,PV,0.0
Batt,19,,,Batt,0.0
x,20,,,slow,0.0
x,20,,,medium,0.0
x,20,,,fast,0.0
PV,20,,,PV,0.0
Batt,20,,,Batt,0.0
x,21,,,slow,1.0
x,21,,,medium,0.0
x,21,,,fast,0.0
PV,21,,,PV,0.0
Batt,21,,,Batt,0.0
x,22,,,slow,0.0
x,22,,,medium,0.0
x,22,,,fast,0.0
PV,22,,,PV,0.0
Batt,22,,,Batt,0.0
x,23,,,slow,1.0
x,23,,,medium,2.0
x,23,,,fast,0.0
PV,23,,,PV,0.0
Batt,23,,,Batt,0.0
x,24,,,slow,0.0
x,24,,,medium,2.0
x,24,,,fast,0.0
PV,24,,,PV,0.0
Batt,24,,,Batt,0.0
x,25,,,slow,0.0
x,25,,,medium,0.0
x,25,,,fast,0.0
PV,25,,,PV,0.0
Batt,25,,,Batt,0.0
x,26,,,slow,0.0
x,26,,,medium,1.0
x,26,,,fast,0.0
PV,26,,,PV,0.0
Batt,26,,,Batt,0.0
x,27,,,slow,1.0
x,27,,,medium,0.0
x,27,,,fast,0.0
PV,27,,,PV,0.0
Batt,27,,,Batt,0.0
x,28,,,slow,0.0
x,28,,,medium,0.0
x,28,,,fast,0.0
PV,28,,,PV,0.0
Batt,28,,,Batt,0.0
x,29,,,slow,0.0
x,29,,,medium,0.0
x,29,,,fast,0.0
PV,29,,,PV,0.0
Batt,29,,,Batt,0.0
x,30,,,slow,1.0
x,30,,,medium,4.0
x,30,,,fast,0.0
PV,30,,,PV,0.0
Batt,30,,,Batt,0.0
x,31,,,slow,1.0
x,31,,,medium,1.0
x,31,,,fast,1.0
PV,31,,,PV,0.0
Batt,31,,,Batt,0.0
x,32,,,slow,1.0
x,32,,,medium,6.0
x,32,,,fast,0.0
PV,32,,,PV,0.0
Batt,32,,,Batt,0.0
x,33,,,slow,1.0
x,33,,,medium,4.0
x,33,,,fast,0.0
PV,33,,,PV,0.0
Batt,33,,,Batt,0.0
x,34,,,slow,0.0
x,34,,,medium,0.0
x,34,,,fast,0.0
PV,34,,,PV,0.0
Batt,34,,,Batt,0.0
x,35,,,slow,0.0
x,35,,,medium,0.0
x,35,,,fast,0.0
PV,35,,,PV,0.0
Batt,35,,,Batt,0.0
x,36,,,slow,0.0
x,36,,,medium,0.0
x,36,,,fast,0.0
PV,36,,,PV,0.0
Batt,36,,,Batt,0.0
x,37,,,slow,0.0
x,37,,,medium,0.0
x,37,,,fast,0.0
PV,37,,,PV,0.0
Batt,37,,,Batt,0.0
x,38,,,slow,0.0
x,38,,,medium,0.0
x,38,,,fast,0.0
PV,38,,,PV,0.0
Batt,38,,,Batt,0.0
x,39,,,slow,1.0
x,39,,,medium,2.0
x,39,,,fast,0.0
PV,39,,,PV,0.0
Batt,39,,,Batt,0.0
x,40,,,slow,0.0
x,40,,,medium,0.0
x,40,,,fast,0.0
PV,40,,,PV,0.0
Batt,40,,,Batt,0.0
x,41,,,slow,0.0
x,41,,,medium,1.0
x,41,,,fast,0.0
PV,41,,,PV,0.0
Batt,41,,,Batt,0.0
x,42,,,slow,1.0
x,42,,,medium,3.0
x,42,,,fast,0.0
PV,42,,,PV,0.0
Batt,42,,,Batt,0.0
x,43,,,slow,0.0
x,43,,,medium,2.0
x,43,,,fast,0.0
PV,43,,,PV,0.0
Batt,43,,,Batt,0.0
x,44,,,slow,0.0
x,44,,,medium,0.0
x,44,,,fast,0.0
PV,44,,,PV,0.0
Batt,44,,,Batt,0.0
x,45,,,slow,1.0
x,45,,,medium,1.0
x,45,,,fast,0.0
PV,45,,,PV,0.0
Batt,45,,,Batt,0.0
x,46,,,slow,0.0
x,46,,,medium,1.0
x,46,,,fast,0.0
PV,46,,,PV,0.0
Batt,46,,,Batt,0.0
x,47,,,slow,1.0
x,47,,,medium,4.0
x,47,,,fast,0.0
PV,47,,,PV,0.0
Batt,47,,,Batt,0.0
x,48,,,slow,0.0
x,48,,,medium,0.0
x,48,,,fast,0.0
PV,48,,,PV,0.0
Batt,48,,,Batt,0.0
x,49,,,slow,2.0
x,49,,,medium,4.0
x,49,,,fast,0.0
PV,49,,,PV,0.0
Batt,49,,,Batt,0.0
x,50,,,slow,0.0
x,50,,,medium,0.0
x,50,,,fast,0.0
PV,50,,,PV,0.0
Batt,50,,,Batt,0.0
x,51,,,slow,0.0
x,51,,,medium,2.0
x,51,,,fast,0.0
PV,51,,,PV,0.0
Batt,51,,,Batt,0.0
x,52,,,slow,0.0
x,52,,,medium,4.0
x,52,,,fast,0.0
PV,52,,,PV,0.0
Batt,52,,,Batt,0.0
x,53,,,slow,0.0
x,53,,,medium,3.0
x,53,,,fast,0.0
PV,53,,,PV,0.0
Batt,53,,,Batt,0.0
x,54,,,slow,0.0
x,54,,,medium,4.0
x,54,,,fast,0.0
PV,54,,,PV,0.0
Batt,54,,,Batt,0.0
x,55,,,slow,1.0
x,55,,,medium,1.0
x,55,,,fast,0.0
PV,55,,,PV,0.0
Batt,55,,,Batt,0.0
x,56,,,slow,0.0
x,56,,,medium,5.0
x,56,,,fast,0.0
PV,56,,,PV,0.0
Batt,56,,,Batt,0.0
x,57,,,slow,0.0
x,57,,,medium,2.0
x,57,,,fast,0.0
PV,57,,,PV,0.0
Batt,57,,,Batt,0.0
x,58,,,slow,0.0
x,58,,,medium,0.0
x,58,,,fast,0.0
PV,58,,,PV,0.0
Batt,58,,,Batt,0.0
x,59,,,slow,0.0
x,59,,,medium,0.0
x,59,,,fast,0.0
PV,59,,,PV,0.0
Batt,59,,,Batt,0.0
x,60,,,slow,1.0
x,60,,,medium,1.0
x,60,,,fast,0.0
PV,60,,,PV,0.0
Batt,60,,,Batt,0.0
x,61,,,slow,2.0
x,61,,,medium,4.0
x,61,,,fast,0.0
PV,61,,,PV,0.0
