Metric,Value
dataset,full
annual_profit_SEK,485659994.3690216
revenue_all_chargers_SEK,708076702.9536803
grid_cost_SEK,200122811.69767123
redirection_distance_cost_SEK,1274920.9949004583
redirection_price_compensation_SEK,1598.009300277168
redirection_total_cost_SEK,1276519.0042007354
slack_penalty_SEK,0.0
capex_chargers_SEK,21017377.882786665
capex_PV_BESS_SEK,0.0
grid_direct_kWh,115253168.30873623
grid_to_battery_kWh,0.0
grid_total_kWh,115253168.30873623
pv_direct_kWh,0.0
pv_to_battery_kWh,0.0
pv_used_total_kWh,0.0
battery_discharge_kWh,0.0
energy_redirected_kWh,1055429.2022804085
PV_panels_installed,0.0
battery_units_installed,0.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
chargers_slow_installed,170.0
energy_slow_kWh,1104123.5443603536
capacity_upper_bound_slow_kWh,16381200.0
capacity_ratio_slow,0.06740187192393436
chargers_medium_installed,2256.0000003153973
energy_medium_kWh,79929535.01762365
capacity_upper_bound_medium_kWh,434776320.0607834
capacity_ratio_medium,0.1838405895851209
chargers_fast_installed,172.0000000646127
energy_fast_kWh,34219509.74675511
capacity_upper_bound_fast_kWh,75336000.02830036
capacity_ratio_fast,0.4542252008853718
