Method,Metric,Value,Unit,Source
Monolithic,hex_cells,57.0,count,preprocessing
Monolithic,representative_months,12.0,count,preprocessing
Monolithic,time_slots_per_day,48.0,count,preprocessing
Monolithic,month_slot_blocks,576.0,count,preprocessing
Monolithic,public_charger_types,3.0,count,preprocessing
Monolithic,demand_classes,2.0,count,preprocessing
Monolithic,spatial_redirection_arcs,132.0,count,preprocessing
Monolithic,active_redirection_arc_slots,57600.0,count,preprocessing
Monolithic,origin_slot_records,25080.0,count,preprocessing
Monolithic,destination_slot_records,25080.0,count,preprocessing
Monolithic,demand_event_records,65664.0,count,preprocessing
Monolithic,battery_big_m_records,57.0,count,preprocessing
Monolithic,type_pair_arc_slot_records,518400.0,count,preprocessing
Monolithic,arc_slots_average_per_month_slot,100.0,count,preprocessing
Monolithic,arc_slots_median_per_month_slot,115.0,count,preprocessing
Monolithic,arc_slots_p95_per_month_slot,130.0,count,preprocessing
Monolithic,arc_slots_max_per_month_slot,130.0,count,preprocessing
Monolithic,input_load_seconds,1.5330293000001802,s,phase_timing
Monolithic,preprocessing_seconds,0.5954922000000806,s,phase_timing
Monolithic,model_build_seconds,23.223208299999897,s,phase_timing
Monolithic,solve_seconds,1048.6436893999999,s,phase_timing
Monolithic,export_seconds,32.68418040000006,s,phase_timing
Monolithic,figure_generation_seconds,16.42527680000012,s,phase_timing
Monolithic,total_runtime_seconds,1127.4802087999997,s,phase_timing
Monolithic,peak_process_tree_rss_MB,18825.3125,MB,resource_monitor
Monolithic,final_process_tree_rss_MB,2665.90625,MB,resource_monitor
Monolithic,solver_mip_gap_requested,0.0001,fraction,run
Monolithic,main_model_variables_total,1340745.0,count,pyomo_model
Monolithic,main_model_variables_continuous,1192428.0,count,pyomo_model
Monolithic,main_model_variables_integer_nonbinary,57885.0,count,pyomo_model
Monolithic,main_model_variables_binary,90432.0,count,pyomo_model
Monolithic,main_model_variable_components,18.0,count,pyomo_model
Monolithic,main_model_constraints_active,1189599.0,count,pyomo_model
Monolithic,main_model_constraint_components,28.0,count,pyomo_model
Monolithic,main_model_objectives_active,1.0,count,pyomo_model
