HexID,slow_chargers,slow_footprint,slow_capacity_kWh_slot,medium_chargers,medium_footprint,medium_capacity_kWh_slot,fast_chargers,fast_footprint,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_charger_footprint,Total_public_capacity_kWh_slot
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,-0.0,-0.0,5.0,25.0,55.0,0.0,0.0,0.0,163.0,11.0,25.0,55.0
2,-0.0,-0.0,-0.0,1.0,5.0,11.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.0,11.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4,-0.0,-0.0,-0.0,2.0,10.0,22.0,2.0,300.0,50.0,256.0,9.0,310.0,72.0
5,1.0,1.0,5.5,5.0,25.0,55.0,0.0,0.0,0.0,216.0,4.0,26.0,60.5
6,0.0,0.0,0.0,9.0,45.0,99.0,0.0,0.0,0.0,418.0,6.0,45.0,99.0
7,-0.0,-0.0,-0.0,3.0,15.0,33.0,0.0,0.0,0.0,115.0,3.0,15.0,33.0
8,4.0,4.0,22.0,-0.0,-0.0,-0.0,1.0,150.0,25.0,179.0,1.0,154.0,47.0
9,-0.0,-0.0,-0.0,5.0,25.0,55.0,1.0,150.0,25.0,329.0,6.0,175.0,80.0
10,-0.0,-0.0,-0.0,9.0,45.0,99.0,1.0,150.0,25.0,516.0,15.0,195.0,124.0
11,-0.0,-0.0,-0.0,7.0,35.0,77.0,2.0,300.0,50.0,543.0,12.0,335.0,127.0
12,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,70.0,5.0,10.0,22.0
13,-0.0,-0.0,-0.0,1.0,5.0,11.0,1.0,150.0,25.0,220.0,3.0,155.0,36.0
14,-0.0,-0.0,-0.0,18.0,90.0,198.0,-0.0,-0.0,-0.0,369.0,2.0,90.0,198.0
15,23.0,23.0,126.5,6.0,30.0,66.0,0.0,0.0,0.0,184.0,-0.0,53.0,192.5
16,1.0,1.0,5.5,17.0,85.0,187.0,1.0,150.0,25.0,285.0,-0.0,236.0,217.5
17,-0.0,-0.0,-0.0,21.0,105.0,231.0,-0.0,-0.0,-0.0,313.0,-0.0,105.0,231.0
18,-0.0,-0.0,-0.0,11.0,55.0,121.0,1.0,150.0,25.0,396.0,1.0,205.0,146.0
19,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,62.0,5.0,10.0,22.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0,-0.0,-0.0,7.0,35.0,77.0,1.0,150.0,25.0,229.0,-0.0,185.0,102.0
22,-0.0,-0.0,-0.0,10.0,50.0,110.0,1.0,150.0,25.0,302.0,1.0,200.0,135.0
23,1.0,1.0,5.5,17.0,85.0,187.0,1.0,150.0,25.0,260.0,-0.0,236.0,217.5
24,-0.0,-0.0,-0.0,26.0,130.0,286.0,-0.0,-0.0,-0.0,161.0,-0.0,130.0,286.0
25,-0.0,-0.0,-0.0,25.0,125.0,275.0,1.0,150.0,25.0,449.0,-0.0,275.0,300.0
26,-0.0,-0.0,-0.0,13.0,65.0,143.0,1.0,150.0,25.0,440.0,3.0,215.0,168.0
27,-0.0,-0.0,-0.0,3.0,15.0,33.0,0.0,0.0,0.0,80.0,4.0,15.0,33.0
28,0.0,0.0,0.0,6.0,30.0,66.0,1.0,150.0,25.0,467.0,18.0,180.0,91.0
29,0.0,0.0,0.0,9.0,45.0,99.0,1.0,150.0,25.0,383.0,5.0,195.0,124.0
30,0.0,0.0,0.0,3.0,15.0,33.0,2.0,300.0,50.0,317.0,7.0,315.0,83.0
31,1.0,1.0,5.5,17.0,85.0,187.0,-0.0,-0.0,-0.0,224.0,-0.0,86.0,192.5
32,-0.0,-0.0,-0.0,45.0,225.0,495.0,-0.0,-0.0,-0.0,155.0,-0.0,225.0,495.0
33,19.0,19.0,104.5,10.0,50.0,110.0,1.0,150.0,25.0,443.0,6.0,219.0,239.5
34,2.0,2.0,11.0,3.0,15.0,33.0,2.0,300.0,50.0,421.0,10.0,317.0,94.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,10.0,50.0,110.0,1.0,150.0,25.0,658.0,20.0,200.0,135.0
37,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,171.0,5.0,160.0,47.0
38,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,231.0,7.0,160.0,47.0
39,0.0,0.0,0.0,5.0,25.0,55.0,1.0,150.0,25.0,418.0,14.0,175.0,80.0
40,0.0,0.0,0.0,13.0,65.0,143.0,1.0,150.0,25.0,399.0,8.0,215.0,168.0
41,-0.0,-0.0,-0.0,10.0,50.0,110.0,1.0,150.0,25.0,497.0,8.0,200.0,135.0
42,1.0,1.0,5.5,6.0,30.0,66.0,0.0,0.0,0.0,23.0,2.0,31.0,71.5
43,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,248.0,12.0,160.0,47.0
44,0.0,0.0,0.0,3.0,15.0,33.0,2.0,300.0,50.0,403.0,17.0,315.0,83.0
