Metric,Value
dataset,small
annual_profit_SEK,126985541.06954555
revenue_all_chargers_SEK,178857772.9288934
grid_cost_SEK,39795922.86879327
grid_direct_cost_SEK,38861227.43903571
grid_to_battery_cost_SEK,934695.4297575578
redirection_distance_cost_SEK,721241.2980545233
redirection_price_compensation_SEK,0.0
redirection_total_cost_SEK,721241.2980545233
slack_penalty_SEK,0.0
capex_chargers_SEK,4349805.5940000005
capex_PV_SEK,5888522.369999998
capex_BESS_SEK,1116739.7285000002
capex_PV_BESS_SEK,7005262.098499998
grid_direct_kWh,22060297.722488288
grid_to_battery_kWh,659654.2693926183
grid_total_kWh,22719951.991880905
pv_direct_kWh,5732555.165996095
pv_to_battery_kWh,857838.1282884002
pv_used_total_kWh,6590393.2942844955
battery_discharge_kWh,1365810.7579528992
annual_public_demand_kWh,25409531.377501294
energy_redirected_kWh,432053.14033944346
share_redirected_public_demand,0.017003585541211598
active_redirection_arcs,1438
public_charger_capacity_kWh_per_slot,5878.5
annual_slack_kWh,0.0
redirection_trip_equivalents_annual,21602.657016972174
redirection_full_trip_bundles_annual,7385.0
PV_panels_installed,15055.0
battery_units_installed,319.0
chargers_slow_installed,55.0
energy_slow_kWh,931450.7950417759
revenue_slow_SEK,5122979.372729771
capex_chargers_slow_SEK,186817.94999999998
capacity_upper_bound_slow_kWh,5299800.0
capacity_ratio_slow,0.1757520651801532
chargers_medium_installed,416.0
energy_medium_kWh,19484179.955810558
revenue_medium_SEK,116905079.73486458
capex_chargers_medium_SEK,2260836.8639999996
capacity_upper_bound_medium_kWh,80171520.0
capacity_ratio_medium,0.24303119057503908
chargers_fast_installed,40.0
energy_fast_kWh,8743032.895584187
revenue_fast_SEK,56829713.82129769
capex_chargers_fast_SEK,1902150.7799999998
capacity_upper_bound_fast_kWh,17520000.0
capacity_ratio_fast,0.49903155796713394
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
