from_HexID,to_HexID,Month,TimeIndex,Distance_km,Energy_kWh_day,Energy_kWh_annual,Yarc,Trips,Tail_kWh
1,2,April,17,1.284,3.6816152388556205,110.44845716566861,1.0,-0.0,3.6816152388556205
1,2,August,17,1.284,0.2702934422571275,8.379096709970952,1.0,-0.0,0.2702934422571275
1,2,December,17,1.284,3.6816152388556205,114.13007240452424,1.0,-0.0,3.6816152388556205
1,2,February,17,1.284,0.2702934422571275,7.5682163831995695,1.0,-0.0,0.2702934422571275
1,2,January,17,1.284,0.2702934422566159,8.379096709955093,1.0,-0.0,0.2702934422566159
1,2,July,17,1.284,3.6816152388556205,114.13007240452424,1.0,-0.0,3.6816152388556205
1,2,June,17,1.284,0.2702934422571275,8.108803267713824,1.0,-0.0,0.2702934422571275
1,2,March,17,1.284,3.6816152388556205,114.13007240452424,1.0,-0.0,3.6816152388556205
1,2,May,17,1.284,3.681615238855649,114.13007240452512,1.0,-0.0,3.681615238855649
1,2,November,17,1.284,3.6816152388556205,110.44845716566861,1.0,-0.0,3.6816152388556205
1,2,October,17,1.284,0.2702934422571275,8.379096709970952,1.0,-0.0,0.2702934422571275
1,2,September,17,1.284,3.6816152388556205,110.44845716566861,1.0,-0.0,3.6816152388556205
1,9,April,20,1.236,1.858611517145686,55.75834551437058,1.0,-0.0,1.858611517145686
1,9,August,17,1.236,3.4113217965985214,105.75097569455417,1.0,-0.0,3.4113217965985214
1,9,February,17,1.236,3.4113217965985214,95.5170103047586,1.0,-0.0,3.4113217965985214
1,9,January,17,1.236,3.4113217965985143,105.75097569455394,1.0,-0.0,3.4113217965985143
1,9,June,17,1.236,3.4113217965985214,102.33965389795564,1.0,-0.0,3.4113217965985214
1,9,June,20,1.236,9.702370244473506,291.0711073342052,1.0,-0.0,9.702370244473506
1,9,May,19,1.236,0.91907564859887,28.49134510656497,1.0,-0.0,0.91907564859887
1,9,May,20,1.236,4.41781313351937,136.9522071391005,1.0,-0.0,4.41781313351937
1,9,October,17,1.236,3.4113217965985214,105.75097569455417,1.0,-0.0,3.4113217965985214
2,9,April,19,1.124,3.347948824440593,100.43846473321778,1.0,-0.0,3.347948824440593
2,9,April,20,1.124,8.815846756639095,264.47540269917283,1.0,-0.0,8.815846756639095
2,9,April,21,1.124,1.8225303349580386,54.67591004874116,1.0,0.0,1.8225303349580386
2,9,June,19,1.124,3.5857061577739273,107.57118473321782,1.0,-0.0,3.5857061577739273
2,9,June,20,1.124,8.815846756639095,264.47540269917283,1.0,0.0,8.815846756639095
2,9,June,21,1.124,6.068241184153243,182.0472355245973,1.0,-0.0,6.068241184153243
2,9,May,19,1.124,7.615912059207663,236.09327383543754,1.0,-0.0,7.615912059207663
2,9,May,20,1.124,8.815846756639097,273.291249455812,1.0,-0.0,8.815846756639097
2,9,May,21,1.124,6.068241184153243,188.11547670875055,1.0,-0.0,6.068241184153243
4,11,April,23,1.2756,0.30868813681616203,9.26064410448486,1.0,-0.0,0.30868813681616203
4,11,April,38,1.2756,0.6994932056425824,20.984796169277473,1.0,-0.0,0.6994932056425824
4,11,August,38,1.2756,0.6994932056428537,21.684289374928465,1.0,-0.0,0.6994932056428537
4,11,December,38,1.2756,0.6994932056428537,21.684289374928465,1.0,-0.0,0.6994932056428537
4,11,February,38,1.2756,0.6994932056428537,19.585809757999904,1.0,-0.0,0.6994932056428537
4,11,January,38,1.2756,0.6994932056425966,21.684289374920496,1.0,-0.0,0.6994932056425966
4,11,July,38,1.2756,0.6994932056425966,21.684289374920496,1.0,-0.0,0.6994932056425966
4,11,June,38,1.2756,0.6994932056428537,20.98479616928561,1.0,-0.0,0.6994932056428537
4,11,March,38,1.2756,0.6994932056425966,21.684289374920496,1.0,-0.0,0.6994932056425966
4,11,May,38,1.2756,0.6994932056425966,21.684289374920496,1.0,-0.0,0.6994932056425966
4,11,November,38,1.2756,0.6994932056425966,20.9847961692779,1.0,-0.0,0.6994932056425966
4,11,October,38,1.2756,0.6994932056425824,21.684289374920056,1.0,-0.0,0.6994932056425824
4,11,September,38,1.2756,0.6994932056428537,20.98479616928561,1.0,-0.0,0.6994932056428537
7,8,April,24,1.1712,1.153809322852183,34.61427968556549,1.0,-0.0,1.153809322852183
7,8,August,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,December,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,February,24,1.1712,1.153809322852183,32.306661039861126,1.0,-0.0,1.153809322852183
7,8,January,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,July,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,June,24,1.1712,1.153809322852183,34.61427968556549,1.0,-0.0,1.153809322852183
7,8,March,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,May,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,November,24,1.1712,1.153809322852183,34.61427968556549,1.0,-0.0,1.153809322852183
7,8,October,24,1.1712,1.153809322852183,35.768089008417675,1.0,-0.0,1.153809322852183
7,8,September,24,1.1712,1.153809322852183,34.61427968556549,1.0,-0.0,1.153809322852183
8,1,April,21,1.1788,6.705008401144934,201.150252034348,1.0,-0.0,6.705008401144934
8,1,June,21,1.1788,7.998589984478269,239.95769953434805,1.0,-0.0,7.998589984478269
8,1,May,21,1.1788,8.760569597540112,271.5776575237435,1.0,-0.0,8.760569597540112
8,16,November,19,1.117,0.9524099732465925,28.572299197397776,1.0,-0.0,0.9524099732465925
9,1,June,23,1.236,7.668366749038553,230.05100247115658,1.0,-0.0,7.668366749038553
9,1,June,29,1.236,1.919450485037201,57.583514551116025,1.0,-0.0,1.919450485037201
10,9,April,34,1.4594,9.455763194440507,283.6728958332152,1.0,-0.0,9.455763194440507
10,9,August,34,1.4594,9.455763194440502,293.12865902765554,1.0,-0.0,9.455763194440502
10,9,January,34,1.4594,9.455763194440502,293.12865902765554,1.0,-0.0,9.455763194440502
10,9,July,34,1.4594,9.455763194440507,293.1286590276557,1.0,-0.0,9.455763194440507
10,9,June,34,1.4594,9.455763194440507,283.6728958332152,1.0,-0.0,9.455763194440507
10,9,March,34,1.4594,9.455763194440502,293.12865902765554,1.0,-0.0,9.455763194440502
10,9,May,20,1.4594,3.0819894799584944,95.54167387871333,1.0,-0.0,3.0819894799584944
10,9,May,34,1.4594,9.455763194440518,293.12865902765606,1.0,-0.0,9.455763194440518
10,9,November,34,1.4594,9.455763194440502,283.6728958332151,1.0,-0.0,9.455763194440502
10,9,September,34,1.4594,0.9127044184689179,27.381132554067538,1.0,-0.0,0.9127044184689179
10,11,December,34,1.1045,9.455763194440499,293.12865902765543,1.0,-0.0,9.455763194440499
10,11,February,34,1.1045,9.455763194440507,264.7613694443342,1.0,-0.0,9.455763194440507
10,11,October,34,1.1045,9.455763194440502,293.12865902765554,1.0,-0.0,9.455763194440502
10,11,September,34,1.1045,8.543058775971588,256.29176327914763,1.0,-0.0,8.543058775971588
11,4,April,25,1.2756,5.867072320079515,176.01216960238546,1.0,-0.0,5.867072320079515
11,4,April,27,1.2756,23.182711649912324,695.4813494973697,1.0,1.0,3.182711649912323
