from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,DeltaPrice_SEK_per_kWh,PriceComp_SEK_day,PriceComp_SEK_annual
1,2,April,17,medium,medium,3.6816152388556205,110.44845716566861,0.0,0.0,0.0
1,2,August,17,medium,medium,0.2702934422571275,8.379096709970952,0.0,0.0,0.0
1,2,December,17,medium,medium,3.6816152388556205,114.13007240452424,0.0,0.0,0.0
1,2,February,17,medium,medium,0.2702934422571275,7.5682163831995695,0.0,0.0,0.0
1,2,January,17,fast,medium,0.2702934422566159,8.379096709955093,0.0,0.0,0.0
1,2,July,17,fast,medium,3.6816152388556205,114.13007240452424,0.0,0.0,0.0
1,2,June,17,medium,medium,0.2702934422571275,8.108803267713824,0.0,0.0,0.0
1,2,March,17,medium,medium,3.6816152388556205,114.13007240452424,0.0,0.0,0.0
1,2,May,17,fast,medium,3.681615238855649,114.13007240452512,0.0,0.0,0.0
1,2,November,17,medium,medium,3.6816152388556205,110.44845716566861,0.0,0.0,0.0
1,2,October,17,medium,medium,0.2702934422571275,8.379096709970952,0.0,0.0,0.0
1,2,September,17,fast,medium,3.6816152388556205,110.44845716566861,0.0,0.0,0.0
1,9,April,20,fast,fast,1.858611517145686,55.75834551437058,0.0,0.0,0.0
1,9,August,17,fast,medium,3.4113217965985214,105.75097569455417,0.0,0.0,0.0
1,9,February,17,medium,medium,3.4113217965985214,95.5170103047586,0.0,0.0,0.0
1,9,January,17,medium,medium,3.4113217965985143,105.75097569455394,0.0,0.0,0.0
1,9,June,17,fast,fast,3.4113217965985214,102.33965389795564,0.0,0.0,0.0
1,9,June,20,fast,fast,9.702370244473506,291.0711073342052,0.0,0.0,0.0
1,9,May,19,fast,fast,0.91907564859887,28.49134510656497,0.0,0.0,0.0
1,9,May,20,fast,fast,4.41781313351937,136.9522071391005,0.0,0.0,0.0
1,9,October,17,fast,fast,3.4113217965985214,105.75097569455417,0.0,0.0,0.0
2,9,April,19,fast,fast,3.347948824440593,100.43846473321778,0.0,0.0,0.0
2,9,April,20,fast,fast,8.815846756639095,264.47540269917283,0.0,0.0,0.0
2,9,April,21,fast,fast,1.8225303349580386,54.67591004874116,0.0,0.0,0.0
2,9,June,19,fast,fast,3.5857061577739273,107.57118473321782,0.0,0.0,0.0
2,9,June,20,medium,medium,7.843758727327817,235.31276181983452,0.0,0.0,0.0
2,9,June,20,fast,fast,0.9720880293112781,29.162640879338344,0.0,0.0,0.0
2,9,June,21,fast,fast,6.068241184153243,182.0472355245973,0.0,0.0,0.0
2,9,May,19,fast,fast,7.615912059207663,236.09327383543754,0.0,0.0,0.0
2,9,May,20,medium,medium,8.815846756639097,273.291249455812,0.0,0.0,0.0
2,9,May,21,fast,fast,6.068241184153243,188.11547670875055,0.0,0.0,0.0
4,11,April,23,fast,fast,0.30868813681616203,9.26064410448486,0.0,0.0,0.0
4,11,April,38,fast,fast,0.6994932056425824,20.984796169277473,0.0,0.0,0.0
4,11,August,38,fast,fast,0.6994932056428537,21.684289374928465,0.0,0.0,0.0
4,11,December,38,fast,fast,0.6994932056428537,21.684289374928465,0.0,0.0,0.0
4,11,February,38,fast,fast,0.6994932056428537,19.585809757999904,0.0,0.0,0.0
4,11,January,38,fast,fast,0.6994932056425966,21.684289374920496,0.0,0.0,0.0
4,11,July,38,fast,fast,0.6994932056425966,21.684289374920496,0.0,0.0,0.0
4,11,June,38,fast,fast,0.6994932056428537,20.98479616928561,0.0,0.0,0.0
4,11,March,38,fast,fast,0.6994932056425966,21.684289374920496,0.0,0.0,0.0
4,11,May,38,fast,fast,0.6994932056425966,21.684289374920496,0.0,0.0,0.0
4,11,November,38,fast,fast,0.6994932056425966,20.9847961692779,0.0,0.0,0.0
4,11,October,38,fast,fast,0.6994932056425824,21.684289374920056,0.0,0.0,0.0
4,11,September,38,fast,fast,0.6994932056428537,20.98479616928561,0.0,0.0,0.0
7,8,April,24,medium,slow,1.153809322852183,34.61427968556549,0.0,0.0,0.0
7,8,August,24,fast,fast,1.153809322852183,35.768089008417675,0.0,0.0,0.0
7,8,December,24,fast,fast,1.153809322852183,35.768089008417675,0.0,0.0,0.0
7,8,February,24,fast,fast,1.153809322852183,32.306661039861126,0.0,0.0,0.0
