HexID,DemandClass,AnnualDemand_kWh,AnnualSlack_kWh,SlackShare
0,home,0.0,0.0,0.0
0,public,0.0,0.0,0.0
1,home,0.0,0.0,0.0
1,public,132312.4999999999,0.0,0.0
2,home,0.0,0.0,0.0
2,public,8212.500000000005,0.0,0.0
3,home,0.0,0.0,0.0
3,public,0.0,0.0,0.0
4,home,0.0,0.0,0.0
4,public,284699.99999999994,0.0,0.0
5,home,0.0,0.0,0.0
5,public,204400.0,0.0,0.0
6,home,0.0,0.0,0.0
6,public,500050.0000000006,0.0,0.0
7,home,0.0,0.0,0.0
7,public,52012.500000000015,0.0,0.0
8,home,0.0,0.0,0.0
8,public,129574.99999999997,0.0,0.0
9,home,0.0,0.0,0.0
9,public,340362.4999999998,0.0,0.0
10,home,0.0,0.0,0.0
10,public,543849.9999999992,0.0,0.0
11,home,0.0,0.0,0.0
11,public,732737.5000000003,0.0,0.0
12,home,0.0,0.0,0.0
12,public,45625.000000000015,0.0,0.0
13,home,61891.80475206757,0.0,0.0
13,public,103112.49999999991,0.0,0.0
14,home,757948.1761996651,0.0,0.0
14,public,511912.50000000047,0.0,0.0
15,home,55886.944088020544,0.0,0.0
15,public,1555812.5000000002,0.0,0.0
16,home,679347.460791751,0.0,0.0
16,public,842237.4999999997,0.0,0.0
17,home,423597.0454805993,0.0,0.0
17,public,1043899.9999999984,0.0,0.0
18,home,108662.52316373035,0.0,0.0
18,public,847712.5000000003,0.0,0.0
19,home,0.0,0.0,0.0
19,public,48362.500000000015,0.0,0.0
20,home,0.0,0.0,0.0
20,public,0.0,0.0,0.0
21,home,124019.42918502839,0.0,0.0
21,public,584912.4999999999,0.0,0.0
22,home,104561.04821833511,0.0,0.0
22,public,566662.4999999994,0.0,0.0
23,home,257815.27004841625,0.0,0.0
23,public,1088612.500000001,0.0,0.0
24,home,248950.79590639874,0.0,0.0
24,public,1753825.0000000014,0.0,0.0
25,home,56133.08410035149,0.0,0.0
25,public,1445399.9999999998,0.0,0.0
26,home,0.0,0.0,0.0
26,public,948087.5000000013,0.0,0.0
27,home,0.0,0.0,0.0
27,public,111324.99999999999,0.0,0.0
28,home,483.3971527119421,0.0,0.0
28,public,365912.50000000023,0.0,0.0
29,home,403815.2810715393,0.0,0.0
29,public,444387.49999999994,0.0,0.0
30,home,0.0,0.0,0.0
30,public,323024.99999999994,0.0,0.0
31,home,15741.656384625692,0.0,0.0
31,public,719962.4999999997,0.0,0.0
32,home,0.0,0.0,0.0
32,public,1854200.0000000014,0.0,0.0
33,home,102780.44330628932,0.0,0.0
33,public,1050287.5000000002,0.0,0.0
34,home,0.0,0.0,0.0
34,public,414274.9999999996,0.0,0.0
35,home,0.0,0.0,0.0
35,public,0.0,0.0,0.0
36,home,0.0,0.0,0.0
36,public,698974.9999999999,0.0,0.0
37,home,5969.357565967912,0.0,0.0
37,public,120449.9999999998,0.0,0.0
38,home,0.0,0.0,0.0
38,public,166074.99999999983,0.0,0.0
39,home,0.0,0.0,0.0
39,public,339450.0000000001,0.0,0.0
40,home,0.0,0.0,0.0
40,public,449862.5000000002,0.0,0.0
41,home,169.58501593143816,0.0,0.0
41,public,662474.9999999987,0.0,0.0
42,home,142003.3045970668,0.0,0.0
42,public,41062.49999999999,0.0,0.0
43,home,0.0,0.0,0.0
43,public,253675.00000000017,0.0,0.0
44,home,0.0,0.0,0.0
44,public,304775.0,0.0,0.0
45,home,163273.06079916554,0.0,0.0
45,public,496456.37750145694,0.0,0.0
46,home,35866.62244356114,0.0,0.0
46,public,583087.5000000007,0.0,0.0
47,home,0.0,0.0,0.0
47,public,214437.50000000026,0.0,0.0
48,home,0.0,0.0,0.0
48,public,104025.00000000001,0.0,0.0
49,home,215.97865835685297,0.0,0.0
49,public,209874.99999999997,0.0,0.0
50,home,0.0,0.0,0.0
50,public,87600.00000000003,0.0,0.0
51,home,0.0,0.0,0.0
51,public,123187.50000000006,0.0,0.0
52,home,0.0,0.0,0.0
52,public,187062.5000000002,0.0,0.0
53,home,0.0,0.0,0.0
53,public,245462.49999999985,0.0,0.0
54,home,0.0,0.0,0.0
54,public,240900.00000000006,0.0,0.0
55,home,0.0,0.0,0.0
55,public,183412.5000000001,0.0,0.0
56,home,0.0,0.0,0.0
56,public,99462.50000000004,0.0,0.0
