iteration,Month,TimeIndex,cut_type,selection_rule,dual_selection,rhs_at_current_SEK,true_objective_SEK,theta_at_current_SEK,violation_SEK,nonzeros,n_arcs,n_vars,termination
1,June,29,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,2262.1172349863195,2262.1172349863195,0.0,2262.1172349863195,34,124,1116,optimal
1,June,30,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,2103.669326939625,2103.669326939625,0.0,2103.669326939625,27,122,1098,optimal
1,February,28,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,2013.6533271964422,2013.6533271964422,0.0,2013.6533271964422,43,122,1098,optimal
1,May,17,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1883.5151708108895,1883.5151708108895,0.0,1883.5151708108895,30,130,1170,optimal
1,November,17,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1630.2655849136047,1630.2655849136047,0.0,1630.2655849136047,18,130,1170,optimal
1,January,23,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1624.1391606494753,1624.1391606494753,0.0,1624.1391606494753,23,126,1134,optimal
1,June,17,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1620.3492281256076,1620.3492281256076,0.0,1620.3492281256076,37,130,1170,optimal
1,May,18,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1585.7966998606573,1585.7966998606573,0.0,1585.7966998606573,22,130,1170,optimal
1,May,16,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1552.071869313402,1552.071869313402,0.0,1552.071869313402,42,130,1170,optimal
1,May,20,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1527.0932912722683,1527.0932912722683,0.0,1527.0932912722683,28,130,1170,optimal
1,April,28,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1507.3533357590627,1507.3533357590627,0.0,1507.3533357590627,24,122,1098,optimal
1,August,18,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1490.7861104659123,1490.7861104659123,0.0,1490.7861104659123,18,130,1170,optimal
1,May,21,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1443.597423088053,1443.597423088053,0.0,1443.597423088053,35,130,1170,optimal
1,April,29,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1424.0857006027677,1424.0857006027677,0.0,1424.0857006027677,18,124,1116,optimal
1,June,28,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1353.9671308443458,1353.9671308443458,0.0,1353.9671308443458,31,122,1098,optimal
1,September,17,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1326.1634886338136,1326.1634886338136,0.0,1326.1634886338136,38,130,1170,optimal
1,June,33,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1320.7375943589436,1320.7375943589436,0.0,1320.7375943589436,34,124,1116,optimal
1,April,27,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1276.4562375492465,1276.4562375492465,0.0,1276.4562375492465,19,120,1080,optimal
1,April,31,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1238.8985222162823,1238.8985222162823,0.0,1238.8985222162823,28,126,1134,optimal
1,September,28,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1237.4361673214132,1237.4361673214132,0.0,1237.4361673214132,29,122,1098,optimal
1,February,23,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1235.00429505037,1235.00429505037,0.0,1235.00429505037,20,126,1134,optimal
1,April,19,type_assignment_LP_dual_optimality,standard,standard_primal_shadow_dual,1223.237673492906,1223.237673492906,0.0,1223.237673492906,21,130,1170,optimal
