iteration,Month,TimeIndex,objective_SEK,theta_SEK,violation_SEK,positive_rows,n_arcs,n_vars,status,termination,dual_rhs_current_SEK,dual_selection
1,January,1,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,2,0.0,0.0,0.0,1,90,810,ok,optimal,0.0,standard_primal_shadow_dual
1,January,3,18.400088916855207,0.0,18.400088916855207,3,92,828,ok,optimal,18.400088916855207,standard_primal_shadow_dual
1,January,4,135.0635665743837,0.0,135.0635665743837,1,90,810,ok,optimal,135.0635665743837,standard_primal_shadow_dual
1,January,5,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,6,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,7,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,8,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,9,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,10,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,11,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,12,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,13,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,14,0.0,0.0,0.0,1,126,1134,ok,optimal,0.0,standard_primal_shadow_dual
1,January,15,0.0,0.0,0.0,1,126,1134,ok,optimal,0.0,standard_primal_shadow_dual
1,January,16,331.6873743699174,0.0,331.6873743699174,7,130,1170,ok,optimal,331.6873743699174,standard_primal_shadow_dual
1,January,17,207.4820067061919,0.0,207.4820067061919,12,130,1170,ok,optimal,207.4820067061919,standard_primal_shadow_dual
1,January,18,492.4055712116926,0.0,492.4055712116926,6,130,1170,ok,optimal,492.4055712116926,standard_primal_shadow_dual
1,January,19,620.0,0.0,620.0,2,130,1170,ok,optimal,620.0,standard_primal_shadow_dual
1,January,20,305.98748445989713,0.0,305.98748445989713,2,130,1170,ok,optimal,305.98748445989713,standard_primal_shadow_dual
1,January,21,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,22,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,23,1624.1391606494753,0.0,1624.1391606494753,6,126,1134,ok,optimal,1624.1391606494753,standard_primal_shadow_dual
1,January,24,387.5,0.0,387.5,4,126,1134,ok,optimal,387.5,standard_primal_shadow_dual
1,January,25,44.56140102098697,0.0,44.56140102098697,2,118,1062,ok,optimal,44.56140102098697,standard_primal_shadow_dual
1,January,26,315.3375620059695,0.0,315.3375620059695,2,122,1098,ok,optimal,315.3375620059695,standard_primal_shadow_dual
1,January,27,891.6117484839876,0.0,891.6117484839876,3,120,1080,ok,optimal,891.6117484839876,standard_primal_shadow_dual
1,January,28,1100.6462138651507,0.0,1100.6462138651507,6,122,1098,ok,optimal,1100.6462138651507,standard_primal_shadow_dual
1,January,29,0.0,0.0,0.0,2,124,1116,ok,optimal,0.0,standard_primal_shadow_dual
1,January,30,406.1693496819512,0.0,406.1693496819512,3,122,1098,ok,optimal,406.1693496819512,standard_primal_shadow_dual
1,January,31,648.2154243218043,0.0,648.2154243218043,2,126,1134,ok,optimal,648.2154243218043,standard_primal_shadow_dual
1,January,32,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,33,554.6061030224809,0.0,554.6061030224809,6,124,1116,ok,optimal,554.6061030224809,standard_primal_shadow_dual
1,January,34,614.8530094952322,0.0,614.8530094952322,5,128,1152,ok,optimal,614.8530094952322,standard_primal_shadow_dual
1,January,35,263.24281194950584,0.0,263.24281194950584,3,124,1116,ok,optimal,263.24281194950584,standard_primal_shadow_dual
1,January,36,0.0,0.0,0.0,1,120,1080,ok,optimal,0.0,standard_primal_shadow_dual
1,January,37,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,38,10.842144687459532,0.0,10.842144687459532,1,112,1008,ok,optimal,10.842144687459532,standard_primal_shadow_dual
1,January,39,0.0,0.0,0.0,1,106,954,ok,optimal,0.0,standard_primal_shadow_dual
1,January,40,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,41,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,42,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,43,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,44,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,45,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,46,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,47,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,January,48,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
1,February,1,0.0,0.0,0.0,0,0,0,ok,empty_zero_redirection,,
