Method,Metric,Value,Unit,Source
Benders,hex_cells,57.0,count,preprocessing
Benders,representative_months,12.0,count,preprocessing
Benders,time_slots_per_day,48.0,count,preprocessing
Benders,month_slot_blocks,576.0,count,preprocessing
Benders,public_charger_types,3.0,count,preprocessing
Benders,demand_classes,2.0,count,preprocessing
Benders,spatial_redirection_arcs,132.0,count,preprocessing
Benders,active_redirection_arc_slots,57600.0,count,preprocessing
Benders,origin_slot_records,25080.0,count,preprocessing
Benders,destination_slot_records,25080.0,count,preprocessing
Benders,demand_event_records,65664.0,count,preprocessing
Benders,battery_big_m_records,57.0,count,preprocessing
Benders,type_pair_arc_slot_records,518400.0,count,preprocessing
Benders,arc_slots_average_per_month_slot,100.0,count,preprocessing
Benders,arc_slots_median_per_month_slot,115.0,count,preprocessing
Benders,arc_slots_p95_per_month_slot,130.0,count,preprocessing
Benders,arc_slots_max_per_month_slot,130.0,count,preprocessing
Benders,input_load_seconds,1.820450599999731,s,phase_timing
Benders,preprocessing_seconds,0.8942704999999478,s,phase_timing
Benders,model_build_seconds,17.360395100000005,s,phase_timing
Benders,decomposition_solve_seconds,31414.0897305,s,phase_timing
Benders,export_seconds,37.60754219999944,s,phase_timing
Benders,figure_generation_seconds,14.390115700000024,s,phase_timing
Benders,total_runtime_seconds,31489.665175700004,s,phase_timing
Benders,peak_process_tree_rss_MB,62394.8671875,MB,resource_monitor
Benders,final_process_tree_rss_MB,2591.65234375,MB,resource_monitor
Benders,master_mip_gap_requested,0.0001,fraction,run
Benders,certified_benders_gap_requested,0.0001,fraction,run
Benders,slot_lp_calls,3456.0,count,run
Benders,slot_lp_max_variables,1170.0,count,run
Benders,slot_lp_max_arcs,130.0,count,run
Benders,iterations_completed,6.0,count,run
Benders,master_variables_total,1019913.0,count,pyomo_model
Benders,master_variables_continuous,871596.0,count,pyomo_model
Benders,master_variables_integer_nonbinary,57885.0,count,pyomo_model
Benders,master_variables_binary,90432.0,count,pyomo_model
Benders,master_variable_components,20.0,count,pyomo_model
Benders,master_constraints_active,1275183.0,count,pyomo_model
Benders,master_constraint_components,30.0,count,pyomo_model
Benders,master_objectives_active,1.0,count,pyomo_model
