check,value,tolerance,passed
annual_redirection_energy_match_G_vs_type_kWh,1.7462298274040222e-10,0.0001,True
annual_price_compensation_match_SEK,1.8189894035458565e-12,0.0001,True
slot_G_R_day_sum_match_kWh,5.4569682106375694e-12,1e-06,True
slot_G_W_day_sum_match_kWh,5.4569682106375694e-12,1e-06,True
max_origin_type_R_reconstruction_abs_kWh_day,1.1795009413617663e-12,1e-06,True
max_destination_type_W_reconstruction_abs_kWh_day,3.552713678800501e-14,1e-06,True
max_arc_G_reconstruction_abs_kWh_day,1.177724584522366e-12,1e-06,True
max_energy_balance_abs_kWh,1.5296208744075557e-11,1e-05,True
max_aggregate_outflow_abs_kWh,1.1119993814645568e-12,1e-05,True
max_aggregate_inflow_abs_kWh,1.177724584522366e-12,1e-05,True
max_trip_decomposition_abs_kWh,6.59383658785373e-12,1e-05,True
max_home_demand_cover_abs_kWh,2.842170943040401e-14,1e-05,True
max_public_demand_cover_abs_kWh,1.1009859690602752e-11,1e-05,True
max_q_origin_allocation_abs_kWh,1.1009859690602752e-11,1e-05,True
max_soc_dynamics_abs_kWh,3.89874799111567e-11,1e-05,True
annual_slack_kWh,0.0,0.0001,True
