Metric,Value
dataset,small
annual_profit_SEK,126982308.5615357
master_objective_SEK,126988032.0406032
revenue_all_chargers_SEK,178918659.27369624
grid_cost_SEK,39784751.589021325
grid_direct_cost_SEK,38811571.69720648
grid_to_battery_cost_SEK,973179.891814843
redirection_distance_cost_SEK,738351.3195716302
redirection_price_compensation_SEK,5723.47906750743
theta_master_variable_SEK,0.0
redirection_total_cost_SEK,744074.7986391376
slack_penalty_SEK,0.0
capex_chargers_SEK,4387848.6315
capex_PV_SEK,5892433.71
capex_BESS_SEK,1127241.9830000002
capex_PV_BESS_SEK,7019675.693
grid_direct_kWh,22033373.750603877
grid_to_battery_kWh,683402.2791657603
grid_total_kWh,22716776.029769637
pv_direct_kWh,5754269.946004913
pv_to_battery_kWh,839914.1320707536
pv_used_total_kWh,6594184.078075667
battery_discharge_kWh,1371019.949822174
annual_public_demand_kWh,25409531.377501294
energy_redirected_kWh,442414.96518342244
share_redirected_public_demand,0.0174113783765078
public_charger_capacity_kWh_per_slot,5859.5
annual_slack_kWh,0.0
redirection_trip_equivalents_annual,22120.748259171123
redirection_full_trip_bundles_annual,7933.0
R_outgoing_kWh,442414.96518342267
W_incoming_kWh,442414.96518342366
active_redirection_arcs,1434
PV_panels_installed,15065.0
battery_units_installed,322.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.3440462180026236
chargers_slow_installed,73.0
energy_slow_kWh,1202008.8385008087
revenue_slow_SEK,6611048.611754419
capex_chargers_slow_SEK,247958.37000000002
capacity_upper_bound_slow_kWh,7034280.0
capacity_ratio_slow,0.17087873080127727
R_outgoing_slow_kWh,5458.797602763604
W_incoming_slow_kWh,353.6102168396464
q_origin_slow_kWh,981013.5629126482
chargers_medium_installed,403.0
energy_medium_kWh,18821291.179213036
revenue_medium_SEK,112927747.07527876
capex_chargers_medium_SEK,2190185.7119999994
capacity_upper_bound_medium_kWh,77666160.0
capacity_ratio_medium,0.2423358020946708
R_outgoing_medium_kWh,48067.08159852628
W_incoming_medium_kWh,215729.6437271464
q_origin_medium_kWh,16240883.639362697
chargers_fast_installed,41.0
energy_fast_kWh,9135363.628717085
revenue_fast_SEK,59379863.586661465
capex_chargers_fast_SEK,1949704.5495
capacity_upper_bound_fast_kWh,17958000.0
capacity_ratio_fast,0.5087071850271235
R_outgoing_fast_kWh,388889.08598213305
W_incoming_fast_kWh,226331.7112394384
q_origin_fast_kWh,8187634.175225976
