HexID,Month,TimeIndex,ChargerType,Served_kWh_slot,InstalledCapacity_kWh_slot,UtilizationRatio,Binding95
18,June,30,medium,121.00000000000001,121.0,1.0000000000000002,True
1,January,17,medium,55.0,55.0,1.0,True
1,February,17,medium,55.0,55.0,1.0,True
1,March,17,medium,55.0,55.0,1.0,True
1,April,17,medium,55.0,55.0,1.0,True
1,May,17,medium,55.0,55.0,1.0,True
1,June,17,medium,55.0,55.0,1.0,True
1,July,17,medium,55.0,55.0,1.0,True
1,August,17,medium,55.0,55.0,1.0,True
1,September,17,medium,55.0,55.0,1.0,True
1,October,17,medium,55.0,55.0,1.0,True
1,November,17,medium,55.0,55.0,1.0,True
1,December,17,medium,55.0,55.0,1.0,True
4,January,23,fast,50.0,50.0,1.0,True
4,January,31,fast,50.0,50.0,1.0,True
4,January,33,fast,50.0,50.0,1.0,True
4,January,38,medium,22.0,22.0,1.0,True
4,January,38,fast,50.0,50.0,1.0,True
4,January,39,fast,50.0,50.0,1.0,True
4,February,23,fast,50.0,50.0,1.0,True
4,February,31,fast,50.0,50.0,1.0,True
4,February,33,fast,50.0,50.0,1.0,True
4,February,38,medium,22.0,22.0,1.0,True
4,February,38,fast,50.0,50.0,1.0,True
4,February,39,fast,50.0,50.0,1.0,True
4,March,23,fast,50.0,50.0,1.0,True
4,March,31,fast,50.0,50.0,1.0,True
4,March,33,fast,50.0,50.0,1.0,True
4,March,38,medium,22.0,22.0,1.0,True
4,March,38,fast,50.0,50.0,1.0,True
4,March,39,fast,50.0,50.0,1.0,True
4,April,23,fast,50.0,50.0,1.0,True
4,April,31,fast,50.0,50.0,1.0,True
4,April,33,fast,50.0,50.0,1.0,True
4,April,38,medium,22.0,22.0,1.0,True
4,April,38,fast,50.0,50.0,1.0,True
4,April,39,fast,50.0,50.0,1.0,True
4,May,23,fast,50.0,50.0,1.0,True
4,May,31,fast,50.0,50.0,1.0,True
4,May,33,fast,50.0,50.0,1.0,True
4,May,38,medium,22.0,22.0,1.0,True
4,May,38,fast,50.0,50.0,1.0,True
4,May,39,fast,50.0,50.0,1.0,True
4,June,23,fast,50.0,50.0,1.0,True
4,June,31,fast,50.0,50.0,1.0,True
4,June,33,fast,50.0,50.0,1.0,True
4,June,38,medium,22.0,22.0,1.0,True
4,June,38,fast,50.0,50.0,1.0,True
4,June,39,fast,50.0,50.0,1.0,True
4,July,23,fast,50.0,50.0,1.0,True
4,July,31,fast,50.0,50.0,1.0,True
4,July,33,fast,50.0,50.0,1.0,True
4,July,38,medium,22.0,22.0,1.0,True
4,July,38,fast,50.0,50.0,1.0,True
4,July,39,fast,50.0,50.0,1.0,True
4,August,23,fast,50.0,50.0,1.0,True
4,August,31,fast,50.0,50.0,1.0,True
4,August,33,fast,50.0,50.0,1.0,True
4,August,38,medium,22.0,22.0,1.0,True
4,August,38,fast,50.0,50.0,1.0,True
4,August,39,fast,50.0,50.0,1.0,True
4,September,23,fast,50.0,50.0,1.0,True
4,September,31,fast,50.0,50.0,1.0,True
4,September,33,fast,50.0,50.0,1.0,True
4,September,38,medium,22.0,22.0,1.0,True
4,September,38,fast,50.0,50.0,1.0,True
4,September,39,fast,50.0,50.0,1.0,True
4,October,23,fast,50.0,50.0,1.0,True
4,October,31,fast,50.0,50.0,1.0,True
4,October,33,fast,50.0,50.0,1.0,True
4,October,38,medium,22.0,22.0,1.0,True
4,October,38,fast,50.0,50.0,1.0,True
4,October,39,fast,50.0,50.0,1.0,True
4,November,23,fast,50.0,50.0,1.0,True
4,November,31,fast,50.0,50.0,1.0,True
4,November,33,fast,50.0,50.0,1.0,True
4,November,38,medium,22.0,22.0,1.0,True
4,November,38,fast,50.0,50.0,1.0,True
4,November,39,fast,50.0,50.0,1.0,True
4,December,23,fast,50.0,50.0,1.0,True
4,December,31,fast,50.0,50.0,1.0,True
4,December,33,fast,50.0,50.0,1.0,True
4,December,38,medium,22.0,22.0,1.0,True
4,December,38,fast,50.0,50.0,1.0,True
4,December,39,fast,50.0,50.0,1.0,True
5,January,35,medium,55.0,55.0,1.0,True
