Method,Metric,Value,Unit,Source
LBBD,hex_cells,57.0,count,preprocessing
LBBD,representative_months,12.0,count,preprocessing
LBBD,time_slots_per_day,48.0,count,preprocessing
LBBD,month_slot_blocks,576.0,count,preprocessing
LBBD,public_charger_types,3.0,count,preprocessing
LBBD,demand_classes,2.0,count,preprocessing
LBBD,spatial_redirection_arcs,132.0,count,preprocessing
LBBD,active_redirection_arc_slots,57600.0,count,preprocessing
LBBD,origin_slot_records,25080.0,count,preprocessing
LBBD,destination_slot_records,25080.0,count,preprocessing
LBBD,demand_event_records,65664.0,count,preprocessing
LBBD,battery_big_m_records,57.0,count,preprocessing
LBBD,type_pair_arc_slot_records,518400.0,count,preprocessing
LBBD,arc_slots_average_per_month_slot,100.0,count,preprocessing
LBBD,arc_slots_median_per_month_slot,115.0,count,preprocessing
LBBD,arc_slots_p95_per_month_slot,130.0,count,preprocessing
LBBD,arc_slots_max_per_month_slot,130.0,count,preprocessing
LBBD,input_load_seconds,1.9554318000009516,s,phase_timing
LBBD,preprocessing_seconds,0.7524334999980056,s,phase_timing
LBBD,component_preparation_seconds,0.37084089999552816,s,phase_timing
LBBD,master_build_seconds,8.576349200004188,s,phase_timing
LBBD,master_mip_start_seconds,1.1511861999970279,s,phase_timing
LBBD,oracle_model_build_seconds,23.51244140000199,s,phase_timing
LBBD,decomposition_solve_seconds,2749.9586174488068,s,phase_timing
LBBD,export_seconds,25.575346600002376,s,phase_timing
LBBD,figure_generation_seconds,15.220252600003732,s,phase_timing
LBBD,total_runtime_seconds,2827.9229358999946,s,phase_timing
LBBD,peak_process_tree_rss_MB,32211.62890625,MB,resource_monitor
LBBD,final_process_tree_rss_MB,6736.39453125,MB,resource_monitor
LBBD,trial_master_gap_initial,0.002,fraction,run
LBBD,trial_master_gap_tight,5e-05,fraction,run
LBBD,certified_lbbd_gap_requested,0.0001,fraction,run
LBBD,unique_exact_candidates,3.0,count,run
LBBD,iterations_completed,3.0,count,run
LBBD,initial_master_variables_total,466011.0,count,pyomo_model
LBBD,initial_master_variables_continuous,463909.0,count,pyomo_model
LBBD,initial_master_variables_integer_nonbinary,285.0,count,pyomo_model
LBBD,initial_master_variables_binary,1817.0,count,pyomo_model
LBBD,initial_master_variable_components,19.0,count,pyomo_model
LBBD,initial_master_constraints_active,452492.0,count,pyomo_model
LBBD,initial_master_constraint_components,27.0,count,pyomo_model
LBBD,initial_master_objectives_active,1.0,count,pyomo_model
LBBD,final_master_variables_total,466011.0,count,pyomo_model
LBBD,final_master_variables_continuous,463909.0,count,pyomo_model
LBBD,final_master_variables_integer_nonbinary,285.0,count,pyomo_model
LBBD,final_master_variables_binary,1817.0,count,pyomo_model
LBBD,final_master_variable_components,19.0,count,pyomo_model
LBBD,final_master_constraints_active,452494.0,count,pyomo_model
LBBD,final_master_constraint_components,27.0,count,pyomo_model
LBBD,final_master_objectives_active,1.0,count,pyomo_model
LBBD,best_exact_annual_oracle_variables_total,1340745.0,count,pyomo_model
LBBD,best_exact_annual_oracle_variables_continuous,1192428.0,count,pyomo_model
LBBD,best_exact_annual_oracle_variables_integer_nonbinary,57885.0,count,pyomo_model
LBBD,best_exact_annual_oracle_variables_binary,90432.0,count,pyomo_model
LBBD,best_exact_annual_oracle_variable_components,18.0,count,pyomo_model
LBBD,best_exact_annual_oracle_constraints_active,1189599.0,count,pyomo_model
LBBD,best_exact_annual_oracle_constraint_components,28.0,count,pyomo_model
LBBD,best_exact_annual_oracle_objectives_active,1.0,count,pyomo_model
