HexID,slow_chargers,medium_chargers,fast_chargers,PV_panels,Battery_units
0,0,0,0,0,0
1,0,5,0,163,11
2,0,1,0,0,0
3,0,0,0,0,0
4,0,2,2,260,9
5,1,5,0,212,5
6,0,9,0,421,5
7,0,3,0,115,3
8,4,0,1,179,1
9,0,5,1,329,6
10,0,9,1,516,15
11,0,7,2,543,12
12,0,2,0,73,6
13,0,1,1,250,6
14,18,5,1,369,2
15,23,6,0,184,0
16,1,17,1,285,0
17,0,21,0,313,0
18,0,11,1,396,1
19,0,2,0,64,4
20,0,0,0,0,0
21,0,7,1,229,0
22,0,9,1,302,1
23,1,17,1,260,0
24,0,26,0,161,0
25,0,25,1,449,0
26,0,13,1,440,3
27,0,3,0,75,4
28,0,6,1,462,17
29,0,9,1,383,5
30,0,3,2,317,7
31,1,17,0,224,0
32,0,45,0,155,0
33,14,11,1,443,6
34,1,3,2,421,9
35,0,0,0,0,0
36,0,10,1,658,20
37,0,2,1,167,5
38,0,2,1,228,7
39,0,5,1,418,14
40,0,13,1,406,9
41,0,10,1,497,8
42,1,6,0,24,2
43,0,2,1,256,12
44,0,3,2,412,17
45,0,6,1,392,12
46,1,4,2,614,11
47,0,8,0,287,21
48,0,4,0,148,7
49,1,3,1,318,5
50,0,0,1,10,1
51,0,3,0,50,3
52,0,2,1,247,6
53,0,4,1,307,6
54,0,5,1,313,6
55,0,2,1,234,3
56,0,4,0,135,7
