Metric,Value
dataset,small
annual_profit_SEK,126987822.32935807
revenue_all_chargers_SEK,178942167.95323667
grid_cost_SEK,39764576.64093865
grid_direct_cost_SEK,38892740.92208188
grid_to_battery_cost_SEK,871835.7188567697
redirection_distance_cost_SEK,790460.7354397672
redirection_price_compensation_SEK,0.0
redirection_total_cost_SEK,790460.7354397672
slack_penalty_SEK,0.0
capex_chargers_SEK,4367468.4915
capex_PV_SEK,5911599.276
capex_BESS_SEK,1120240.4800000002
capex_PV_BESS_SEK,7031839.756
grid_direct_kWh,22077928.507188883
grid_to_battery_kWh,624224.667674407
grid_total_kWh,22702153.17486329
pv_direct_kWh,5704601.621504226
pv_to_battery_kWh,904671.4853823078
pv_used_total_kWh,6609273.106886534
battery_discharge_kWh,1376133.5177380226
annual_public_demand_kWh,25409531.377501294
energy_redirected_kWh,475245.35174591554
share_redirected_public_demand,0.018703428437358685
active_redirection_arcs,1511
public_charger_capacity_kWh_per_slot,5826.5
annual_slack_kWh,0.0
redirection_trip_equivalents_annual,23762.267587295777
redirection_full_trip_bundles_annual,8722.0
PV_panels_installed,15114.0
battery_units_installed,320.0
chargers_slow_installed,67.0
energy_slow_kWh,1160878.5949039296
revenue_slow_SEK,6384832.271971603
capex_chargers_slow_SEK,227578.23
capacity_upper_bound_slow_kWh,6456120.0
capacity_ratio_slow,0.17981056654831842
chargers_medium_installed,403.0
energy_medium_kWh,18856534.307331022
revenue_medium_SEK,113139205.84398639
capex_chargers_medium_SEK,2190185.712
capacity_upper_bound_medium_kWh,77666160.0
capacity_ratio_medium,0.24278957923671032
chargers_fast_installed,41.0
energy_fast_kWh,9141250.74419648
revenue_fast_SEK,59418129.83727768
capex_chargers_fast_SEK,1949704.5495
capacity_upper_bound_fast_kWh,17958000.0
capacity_ratio_fast,0.5090350119276356
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
