HexID,AnnualPublicDemand_kWh,AnnualSlack_kWh,AnnualRedirectionOut_kWh,AnnualRedirectionIn_kWh,NetRedirectionIn_kWh,ChargerFootprintUsed,ParkingFootprintLimit,FootprintBinding,InstalledCapacity_kWh_slot
32,1854200.0000000014,0.0,2080.087680154432,0.0,-2080.087680154432,225.0,266.5,False,495.0
24,1753825.0000000014,0.0,3126.2165041586327,17389.223285010405,14263.006780851772,130.0,153.5,False,286.0
15,1555812.5000000002,0.0,164812.8250894074,146.42734506024092,-164666.39774434714,53.0,53.5,False,192.5
25,1445399.9999999998,0.0,14138.666904828182,31316.814582620747,17178.147677792564,275.0,323.5,False,300.0
23,1088612.500000001,0.0,24731.30526400145,25288.95544350529,557.6501795038384,236.0,236.5,False,217.5
33,1050287.5000000002,0.0,30905.598517500614,2081.1261843317743,-28824.47233316884,219.0,219.0,True,223.0
17,1043899.9999999984,0.0,33143.44741078018,336.6586203773585,-32806.788790402825,105.0,197.0,False,231.0
26,948087.5000000013,0.0,11075.141225927106,9891.301744429818,-1183.8394814972871,215.0,297.0,False,168.0
18,847712.5000000003,0.0,21865.0600169016,11806.176782320232,-10058.883234581368,205.0,205.5,False,146.0
16,842237.4999999997,0.0,4928.895633743277,27350.872187722485,22421.976553979206,236.0,236.0,True,217.5
11,732737.5000000003,0.0,16684.79184245869,1595.3986703944674,-15089.393172064221,335.0,337.0,False,127.0
31,719962.4999999997,0.0,0.0,0.0,0.0,86.0,180.0,False,192.5
36,698974.9999999999,0.0,1698.8517064413202,0.0,-1698.8517064413202,200.0,266.0,False,135.0
41,662474.9999999987,0.0,3324.0252962611985,0.0,-3324.0252962611985,200.0,217.5,False,135.0
21,584912.4999999999,0.0,19410.652239979394,3795.6928795781746,-15614.959360401219,185.0,228.5,False,102.0
46,583087.5000000007,0.0,0.0,5260.597199805516,5260.597199805516,321.0,378.5,False,99.5
22,566662.4999999994,0.0,2825.063545110383,22538.620875037894,19713.55732992751,195.0,200.0,False,124.0
10,543849.9999999992,0.0,3546.8952398494907,37932.94854782643,34386.053307976945,195.0,291.0,False,124.0
14,511912.50000000047,0.0,25718.136506122715,646.060815946617,-25072.075690176098,193.0,193.0,True,179.0
6,500050.0000000006,0.0,0.0,0.0,0.0,45.0,81.0,False,99.0
45,496456.37750145694,0.0,7728.778487479473,0.0,-7728.778487479473,180.0,276.0,False,91.0
40,449862.5000000002,0.0,2572.546758164402,2560.487051776754,-12.05970638764802,215.0,265.0,False,168.0
29,444387.49999999994,0.0,6554.2024258301035,6081.018843525604,-473.1835823044994,195.0,240.5,False,124.0
34,414274.9999999996,0.0,8714.34762169767,18310.855970701523,9596.508349003852,316.0,318.0,False,88.5
28,365912.50000000023,0.0,0.0,1415.7243409546318,1415.7243409546318,180.0,263.0,False,91.0
9,340362.4999999998,0.0,287.63451702227337,8860.216335207078,8572.581818184804,175.0,289.0,False,80.0
39,339450.0000000001,0.0,5818.32186282414,1137.075702987862,-4681.246159836278,175.0,177.5,False,80.0
30,323024.99999999994,0.0,5983.3484156754175,8219.458271030064,2236.1098553546462,315.0,375.5,False,83.0
44,304775.0,0.0,1898.7469388210347,13572.207196441443,11673.460257620409,315.0,362.0,False,83.0
4,284699.99999999994,0.0,255.31502005962557,10333.290376122806,10077.97535606318,310.0,370.5,False,72.0
43,253675.00000000017,0.0,9495.288840543444,4043.7179144390557,-5451.5709261043885,160.0,236.5,False,47.0
53,245462.49999999985,0.0,992.1710008810127,5775.764892552623,4783.59389167161,170.0,293.5,False,69.0
54,240900.00000000006,0.0,4639.451895039212,3928.6778261321338,-710.7740689070783,175.0,330.5,False,80.0
47,214437.50000000026,0.0,5260.597199805516,0.0,-5260.597199805516,40.0,78.0,False,88.0
49,209874.99999999997,0.0,0.0,0.0,0.0,166.0,253.5,False,63.5
5,204400.0,0.0,0.0,0.0,0.0,26.0,145.0,False,60.5
52,187062.5000000002,0.0,7382.976916147697,1300.114780992907,-6082.86213515479,160.0,180.5,False,47.0
55,183412.5000000001,0.0,3928.6778261321338,4639.451895039212,710.7740689070783,160.0,258.5,False,47.0
38,166074.99999999983,0.0,1665.2558451999616,185.45693763649786,-1479.7989075634637,160.0,346.0,False,47.0
1,132312.4999999999,0.0,1856.062567275965,1000.3201261147129,-855.742441161252,25.0,40.5,False,55.0
8,129574.99999999997,0.0,712.6856090924396,61941.46196892257,61228.77635983013,154.0,154.0,True,47.0
