HexID,Month,DemandClass,RepresentativeDayDemand_kWh,RepresentativeDaySlack_kWh,AnnualSlack_kWh,SlackShare
1,January,public,362.5,0.0,0.0,0.0
1,February,public,362.5,0.0,0.0,0.0
1,March,public,362.5,0.0,0.0,0.0
1,April,public,362.5,0.0,0.0,0.0
1,May,public,362.5,0.0,0.0,0.0
1,June,public,362.5,0.0,0.0,0.0
1,July,public,362.5,0.0,0.0,0.0
1,August,public,362.5,0.0,0.0,0.0
1,September,public,362.5,0.0,0.0,0.0
1,October,public,362.5,0.0,0.0,0.0
1,November,public,362.5,0.0,0.0,0.0
1,December,public,362.5,0.0,0.0,0.0
2,January,public,22.5,0.0,0.0,0.0
2,February,public,22.5,0.0,0.0,0.0
2,March,public,22.5,0.0,0.0,0.0
2,April,public,22.5,0.0,0.0,0.0
2,May,public,22.5,0.0,0.0,0.0
2,June,public,22.5,0.0,0.0,0.0
2,July,public,22.5,0.0,0.0,0.0
2,August,public,22.5,0.0,0.0,0.0
2,September,public,22.5,0.0,0.0,0.0
2,October,public,22.5,0.0,0.0,0.0
2,November,public,22.5,0.0,0.0,0.0
2,December,public,22.5,0.0,0.0,0.0
4,January,public,780.0000000000001,0.0,0.0,0.0
4,February,public,780.0000000000001,0.0,0.0,0.0
4,March,public,780.0000000000001,0.0,0.0,0.0
4,April,public,780.0000000000001,0.0,0.0,0.0
4,May,public,780.0000000000001,0.0,0.0,0.0
4,June,public,780.0000000000001,0.0,0.0,0.0
4,July,public,780.0000000000001,0.0,0.0,0.0
4,August,public,780.0000000000001,0.0,0.0,0.0
4,September,public,780.0000000000001,0.0,0.0,0.0
4,October,public,780.0000000000001,0.0,0.0,0.0
4,November,public,780.0000000000001,0.0,0.0,0.0
4,December,public,780.0000000000001,0.0,0.0,0.0
5,January,public,559.9999999999999,0.0,0.0,0.0
5,February,public,559.9999999999999,0.0,0.0,0.0
5,March,public,559.9999999999999,0.0,0.0,0.0
5,April,public,559.9999999999999,0.0,0.0,0.0
5,May,public,559.9999999999999,0.0,0.0,0.0
5,June,public,559.9999999999999,0.0,0.0,0.0
5,July,public,559.9999999999999,0.0,0.0,0.0
5,August,public,559.9999999999999,0.0,0.0,0.0
5,September,public,559.9999999999999,0.0,0.0,0.0
5,October,public,559.9999999999999,0.0,0.0,0.0
5,November,public,559.9999999999999,0.0,0.0,0.0
5,December,public,559.9999999999999,0.0,0.0,0.0
6,January,public,1370.0000000000002,0.0,0.0,0.0
6,February,public,1370.0000000000002,0.0,0.0,0.0
6,March,public,1370.0000000000002,0.0,0.0,0.0
6,April,public,1370.0000000000002,0.0,0.0,0.0
6,May,public,1370.0000000000002,0.0,0.0,0.0
6,June,public,1370.0000000000002,0.0,0.0,0.0
6,July,public,1370.0000000000002,0.0,0.0,0.0
6,August,public,1370.0000000000002,0.0,0.0,0.0
6,September,public,1370.0000000000002,0.0,0.0,0.0
6,October,public,1370.0000000000002,0.0,0.0,0.0
6,November,public,1370.0000000000002,0.0,0.0,0.0
6,December,public,1370.0000000000002,0.0,0.0,0.0
7,January,public,142.49999999999997,0.0,0.0,0.0
7,February,public,142.49999999999997,0.0,0.0,0.0
7,March,public,142.49999999999997,0.0,0.0,0.0
7,April,public,142.49999999999997,0.0,0.0,0.0
7,May,public,142.49999999999997,0.0,0.0,0.0
7,June,public,142.49999999999997,0.0,0.0,0.0
7,July,public,142.49999999999997,0.0,0.0,0.0
7,August,public,142.49999999999997,0.0,0.0,0.0
7,September,public,142.49999999999997,0.0,0.0,0.0
7,October,public,142.49999999999997,0.0,0.0,0.0
7,November,public,142.49999999999997,0.0,0.0,0.0
7,December,public,142.49999999999997,0.0,0.0,0.0
8,January,public,355.00000000000006,0.0,0.0,0.0
8,February,public,355.00000000000006,0.0,0.0,0.0
8,March,public,355.00000000000006,0.0,0.0,0.0
8,April,public,355.00000000000006,0.0,0.0,0.0
8,May,public,355.00000000000006,0.0,0.0,0.0
8,June,public,355.00000000000006,0.0,0.0,0.0
8,July,public,355.00000000000006,0.0,0.0,0.0
8,August,public,355.00000000000006,0.0,0.0,0.0
8,September,public,355.00000000000006,0.0,0.0,0.0
8,October,public,355.00000000000006,0.0,0.0,0.0
8,November,public,355.00000000000006,0.0,0.0,0.0
8,December,public,355.00000000000006,0.0,0.0,0.0
9,January,public,932.4999999999999,0.0,0.0,0.0
9,February,public,932.4999999999999,0.0,0.0,0.0
9,March,public,932.4999999999999,0.0,0.0,0.0
9,April,public,932.4999999999999,0.0,0.0,0.0
9,May,public,932.4999999999999,0.0,0.0,0.0
9,June,public,932.4999999999999,0.0,0.0,0.0
9,July,public,932.4999999999999,0.0,0.0,0.0
9,August,public,932.4999999999999,0.0,0.0,0.0
9,September,public,932.4999999999999,0.0,0.0,0.0
9,October,public,932.4999999999999,0.0,0.0,0.0
9,November,public,932.4999999999999,0.0,0.0,0.0
9,December,public,932.4999999999999,0.0,0.0,0.0
10,January,public,1490.0000000000002,0.0,0.0,0.0
10,February,public,1490.0000000000002,0.0,0.0,0.0
10,March,public,1490.0000000000002,0.0,0.0,0.0
10,April,public,1490.0000000000002,0.0,0.0,0.0
10,May,public,1490.0000000000002,0.0,0.0,0.0
10,June,public,1490.0000000000002,0.0,0.0,0.0
10,July,public,1490.0000000000002,0.0,0.0,0.0
10,August,public,1490.0000000000002,0.0,0.0,0.0
10,September,public,1490.0000000000002,0.0,0.0,0.0
10,October,public,1490.0000000000002,0.0,0.0,0.0
10,November,public,1490.0000000000002,0.0,0.0,0.0
