log_file,log_name,model_role,initial_rows,initial_columns,initial_nonzeros,initial_continuous,initial_integer_total,initial_binary,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_presolved_rows,root_presolved_columns,root_presolved_nonzeros,barrier_factor_memory_MB,nodes_explored,simplex_iterations,solver_seconds,work_units,threads_used,final_objective,final_bound,final_gap,log_size_bytes
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_exact_annual_001.log,lbbd_exact_annual_001.log,exact_annual_oracle,1189599,1340461,7093959,1192429.0,148032.0,90432.0,774641,686327,414958,654134,3549627,199909.0,345066.0,1478430.0,250.0,1,97273,115.54,105.67,32,126832594.9261,126832657.1704,0.0,7813
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_exact_annual_002.log,lbbd_exact_annual_002.log,exact_annual_oracle,1189599,1340461,7093959,1192429.0,148032.0,90432.0,776902,686269,412697,654192,3526716,187051.0,319050.0,1334430.0,230.0,1,74094,76.9,70.67,32,126962240.7679,126962331.502,1e-06,7394
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_exact_annual_003.log,lbbd_exact_annual_003.log,exact_annual_oracle,1189599,1340461,7093959,1192429.0,148032.0,90432.0,775674,686163,413925,654298,3530551,193136.0,323556.0,1357182.0,240.0,1,74354,67.52,71.11,32,126987822.3294,126987823.1406,0.0,7323
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_linked_annual_lp_001_candidate.log,lbbd_linked_annual_lp_001_candidate.log,linked_annual_lp,1189884,1340745,7590576,,,,813614,824345,376270,516400,1772587,,,,,0,187376,127.07,123.08,32,,,,2998
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_linked_annual_lp_002_candidate.log,lbbd_linked_annual_lp_002_candidate.log,linked_annual_lp,1189884,1340745,7590576,,,,823045,859998,366839,480747,1542966,,,,,0,176618,113.0,110.82,32,,,,2803
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_linked_annual_lp_002_core.log,lbbd_linked_annual_lp_002_core.log,linked_annual_lp,1189884,1340745,7590576,,,,813739,824603,376145,516142,1772519,,,,,0,187127,125.07,122.87,32,,,,2993
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_linked_annual_lp_003_candidate.log,lbbd_linked_annual_lp_003_candidate.log,linked_annual_lp,1189884,1340745,7590576,,,,820974,860000,368910,480745,1530389,,,,,0,178903,88.32,113.36,32,,,,2542
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_linked_annual_lp_003_core.log,lbbd_linked_annual_lp_003_core.log,linked_annual_lp,1189884,1340745,7590576,,,,813288,822645,376596,518100,1782279,,,,,0,188647,98.2,124.25,32,,,,2667
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_master_001.log,lbbd_master_001.log,master,452492,466011,1675750,463909.0,2102.0,1817.0,92502,110428,359990,355583,1365672,305891.0,275397.0,1129084.0,300.0,31,97803,349.98,274.68,32,126832087.5414,127037382.5602,0.0016189999999999998,23610
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_master_002.log,lbbd_master_002.log,master,452492,466011,1675750,463909.0,2102.0,1817.0,92502,110428,359990,355583,1365672,305891.0,275397.0,1129084.0,300.0,37,94193,395.6,300.16,32,126962364.9279,127004430.5046,0.00033099999999999997,28561
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_184349_small_with_redirection_LBBD_withPV_withBESS\logs\lbbd_master_003.log,lbbd_master_003.log,master,452493,466011,1677568,463909.0,2102.0,1817.0,92263,108643,360230,357368,1369501,305891.0,275397.0,1129084.0,300.0,1085,215306,392.79,365.87,32,126987856.0356,126993953.7627,4.7999999999999994e-05,24609
